#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abandonar]";"yo abandono"
"Indicativo
Presente

ella [castigar]";"ella castiga"
"Indicativo
Presente

Usted [castigar]";"Usted castiga"
"Indicativo
Presente

nosotros [castigar]";"nosotros castigamos"
"Indicativo
Presente

nosotras [castigar]";"nosotras castigamos"
"Indicativo
Presente

vosotros [castigar]";"vosotros castigáis"
"Indicativo
Presente

vosotras [castigar]";"vosotras castigáis"
"Indicativo
Presente

ellos [castigar]";"ellos castigan"
"Indicativo
Presente

ellas [castigar]";"ellas castigan"
"Indicativo
Presente

Ustedes [castigar]";"Ustedes castigan"
"Indicativo
Presente

yo [causar]";"yo causo"
"Indicativo
Presente

tú [causar]";"tú causas"
"Indicativo
Presente

él [causar]";"él causa"
"Indicativo
Presente

ella [causar]";"ella causa"
"Indicativo
Presente

Usted [causar]";"Usted causa"
"Indicativo
Presente

nosotros [causar]";"nosotros causamos"
"Indicativo
Presente

nosotras [causar]";"nosotras causamos"
"Indicativo
Presente

vosotros [causar]";"vosotros causáis"
"Indicativo
Presente

vosotras [causar]";"vosotras causáis"
"Indicativo
Presente

ellos [causar]";"ellos causan"
"Indicativo
Presente

ellas [causar]";"ellas causan"
"Indicativo
Presente

Ustedes [causar]";"Ustedes causan"
"Indicativo
Presente

yo [cazar]";"yo cazo"
"Indicativo
Presente

tú [cazar]";"tú cazas"
"Indicativo
Presente

él [cazar]";"él caza"
"Indicativo
Presente

ella [cazar]";"ella caza"
"Indicativo
Presente

Usted [cazar]";"Usted caza"
"Indicativo
Presente

nosotros [cazar]";"nosotros cazamos"
"Indicativo
Presente

nosotras [cazar]";"nosotras cazamos"
"Indicativo
Presente

vosotros [cazar]";"vosotros cazáis"
"Indicativo
Presente

vosotras [cazar]";"vosotras cazáis"
"Indicativo
Presente

ellos [cazar]";"ellos cazan"
"Indicativo
Presente

ellas [cazar]";"ellas cazan"
"Indicativo
Presente

Ustedes [cazar]";"Ustedes cazan"
"Indicativo
Presente

yo [celebrar]";"yo celebro"
"Indicativo
Presente

tú [celebrar]";"tú celebras"
"Indicativo
Presente

él [celebrar]";"él celebra"
"Indicativo
Presente

ella [celebrar]";"ella celebra"
"Indicativo
Presente

Usted [celebrar]";"Usted celebra"
"Indicativo
Presente

nosotros [celebrar]";"nosotros celebramos"
"Indicativo
Presente

nosotras [celebrar]";"nosotras celebramos"
"Indicativo
Presente

vosotros [celebrar]";"vosotros celebráis"
"Indicativo
Presente

vosotras [celebrar]";"vosotras celebráis"
"Indicativo
Presente

ellos [celebrar]";"ellos celebran"
"Indicativo
Presente

ellas [celebrar]";"ellas celebran"
"Indicativo
Presente

Ustedes [celebrar]";"Ustedes celebran"
"Indicativo
Presente

yo [cenar]";"yo ceno"
"Indicativo
Presente

tú [cenar]";"tú cenas"
"Indicativo
Presente

él [cenar]";"él cena"
"Indicativo
Presente

ella [cenar]";"ella cena"
"Indicativo
Presente

Usted [cenar]";"Usted cena"
"Indicativo
Presente

nosotros [cenar]";"nosotros cenamos"
"Indicativo
Presente

nosotras [cenar]";"nosotras cenamos"
"Indicativo
Presente

vosotros [cenar]";"vosotros cenáis"
"Indicativo
Presente

vosotras [cenar]";"vosotras cenáis"
"Indicativo
Presente

ellos [cenar]";"ellos cenan"
"Indicativo
Presente

ellas [cenar]";"ellas cenan"
"Indicativo
Presente

Ustedes [cenar]";"Ustedes cenan"
"Indicativo
Presente

yo [censurar]";"yo censuro"
"Indicativo
Presente

tú [censurar]";"tú censuras"
"Indicativo
Presente

él [censurar]";"él censura"
"Indicativo
Presente

ella [censurar]";"ella censura"
"Indicativo
Presente

Usted [censurar]";"Usted censura"
"Indicativo
Presente

nosotros [censurar]";"nosotros censuramos"
"Indicativo
Presente

nosotras [censurar]";"nosotras censuramos"
"Indicativo
Presente

vosotros [censurar]";"vosotros censuráis"
"Indicativo
Presente

vosotras [censurar]";"vosotras censuráis"
"Indicativo
Presente

ellos [censurar]";"ellos censuran"
"Indicativo
Presente

ellas [censurar]";"ellas censuran"
"Indicativo
Presente

Ustedes [censurar]";"Ustedes censuran"
"Indicativo
Presente

yo [cepillar]";"yo cepillo"
"Indicativo
Presente

tú [cepillar]";"tú cepillas"
"Indicativo
Presente

él [cepillar]";"él cepilla"
"Indicativo
Presente

ella [cepillar]";"ella cepilla"
"Indicativo
Presente

Usted [cepillar]";"Usted cepilla"
"Indicativo
Presente

nosotros [cepillar]";"nosotros cepillamos"
"Indicativo
Presente

nosotras [cepillar]";"nosotras cepillamos"
"Indicativo
Presente

vosotros [cepillar]";"vosotros cepilláis"
"Indicativo
Presente

vosotras [cepillar]";"vosotras cepilláis"
"Indicativo
Presente

ellos [cepillar]";"ellos cepillan"
"Indicativo
Presente

ellas [cepillar]";"ellas cepillan"
"Indicativo
Presente

Ustedes [cepillar]";"Ustedes cepillan"
"Indicativo
Presente

yo [cerrar]";"yo cierro"
"Indicativo
Presente

tú [cerrar]";"tú cierras"
"Indicativo
Presente

él [cerrar]";"él cierra"
"Indicativo
Presente

ella [cerrar]";"ella cierra"
"Indicativo
Presente

Usted [cerrar]";"Usted cierra"
"Indicativo
Presente

nosotros [cerrar]";"nosotros cerramos"
"Indicativo
Presente

nosotras [cerrar]";"nosotras cerramos"
"Indicativo
Presente

vosotros [cerrar]";"vosotros cerráis"
"Indicativo
Presente

vosotras [cerrar]";"vosotras cerráis"
"Indicativo
Presente

ellos [cerrar]";"ellos cierran"
"Indicativo
Presente

ellas [cerrar]";"ellas cierran"
"Indicativo
Presente

Ustedes [cerrar]";"Ustedes cierran"
"Indicativo
Presente

yo [cesar]";"yo ceso"
"Indicativo
Presente

tú [cesar]";"tú cesas"
"Indicativo
Presente

él [cesar]";"él cesa"
"Indicativo
Presente

ella [cesar]";"ella cesa"
"Indicativo
Presente

Usted [cesar]";"Usted cesa"
"Indicativo
Presente

nosotros [cesar]";"nosotros cesamos"
"Indicativo
Presente

nosotras [cesar]";"nosotras cesamos"
"Indicativo
Presente

vosotros [cesar]";"vosotros cesáis"
"Indicativo
Presente

vosotras [cesar]";"vosotras cesáis"
"Indicativo
Presente

ellos [cesar]";"ellos cesan"
"Indicativo
Presente

ellas [cesar]";"ellas cesan"
"Indicativo
Presente

Ustedes [cesar]";"Ustedes cesan"
"Indicativo
Presente

yo [charlar]";"yo charlo"
"Indicativo
Presente

tú [charlar]";"tú charlas"
"Indicativo
Presente

él [charlar]";"él charla"
"Indicativo
Presente

ella [charlar]";"ella charla"
"Indicativo
Presente

Usted [charlar]";"Usted charla"
"Indicativo
Presente

nosotros [charlar]";"nosotros charlamos"
"Indicativo
Presente

nosotras [charlar]";"nosotras charlamos"
"Indicativo
Presente

vosotros [charlar]";"vosotros charláis"
"Indicativo
Presente

vosotras [charlar]";"vosotras charláis"
"Indicativo
Presente

ellos [charlar]";"ellos charlan"
"Indicativo
Presente

ellas [charlar]";"ellas charlan"
"Indicativo
Presente

Ustedes [charlar]";"Ustedes charlan"
"Indicativo
Presente

yo [chismear]";"yo chismeo"
"Indicativo
Presente

tú [chismear]";"tú chismeas"
"Indicativo
Presente

él [chismear]";"él chismea"
"Indicativo
Presente

ella [chismear]";"ella chismea"
"Indicativo
Presente

Usted [chismear]";"Usted chismea"
"Indicativo
Presente

nosotros [chismear]";"nosotros chismeamos"
"Indicativo
Presente

nosotras [chismear]";"nosotras chismeamos"
"Indicativo
Presente

vosotros [chismear]";"vosotros chismeáis"
"Indicativo
Presente

vosotras [chismear]";"vosotras chismeáis"
"Indicativo
Presente

ellos [chismear]";"ellos chismean"
"Indicativo
Presente

ellas [chismear]";"ellas chismean"
"Indicativo
Presente

Ustedes [chismear]";"Ustedes chismean"
"Indicativo
Presente

yo [chocar]";"yo choco"
"Indicativo
Presente

tú [chocar]";"tú chocas"
"Indicativo
Presente

él [chocar]";"él choca"
"Indicativo
Presente

ella [chocar]";"ella choca"
"Indicativo
Presente

Usted [chocar]";"Usted choca"
"Indicativo
Presente

nosotros [chocar]";"nosotros chocamos"
"Indicativo
Presente

nosotras [chocar]";"nosotras chocamos"
"Indicativo
Presente

vosotros [chocar]";"vosotros chocáis"
"Indicativo
Presente

vosotras [chocar]";"vosotras chocáis"
"Indicativo
Presente

ellos [chocar]";"ellos chocan"
"Indicativo
Presente

ellas [chocar]";"ellas chocan"
"Indicativo
Presente

Ustedes [chocar]";"Ustedes chocan"
"Indicativo
Presente

yo [civilizar]";"yo civilizo"
"Indicativo
Presente

tú [civilizar]";"tú civilizas"
"Indicativo
Presente

él [civilizar]";"él civiliza"
"Indicativo
Presente

ella [civilizar]";"ella civiliza"
"Indicativo
Presente

Usted [civilizar]";"Usted civiliza"
"Indicativo
Presente

nosotros [civilizar]";"nosotros civilizamos"
"Indicativo
Presente

nosotras [civilizar]";"nosotras civilizamos"
"Indicativo
Presente

vosotros [civilizar]";"vosotros civilizáis"
"Indicativo
Presente

vosotras [civilizar]";"vosotras civilizáis"
"Indicativo
Presente

ellos [civilizar]";"ellos civilizan"
"Indicativo
Presente

ellas [civilizar]";"ellas civilizan"
"Indicativo
Presente

Ustedes [civilizar]";"Ustedes civilizan"
"Indicativo
Presente

yo [clarificar]";"yo clarifico"
"Indicativo
Presente

tú [clarificar]";"tú clarificas"
"Indicativo
Presente

él [clarificar]";"él clarifica"
"Indicativo
Presente

ella [clarificar]";"ella clarifica"
"Indicativo
Presente

Usted [clarificar]";"Usted clarifica"
"Indicativo
Presente

nosotros [clarificar]";"nosotros clarificamos"
"Indicativo
Presente

nosotras [clarificar]";"nosotras clarificamos"
"Indicativo
Presente

vosotros [clarificar]";"vosotros clarificáis"
"Indicativo
Presente

vosotras [clarificar]";"vosotras clarificáis"
"Indicativo
Presente

ellos [clarificar]";"ellos clarifican"
"Indicativo
Presente

ellas [clarificar]";"ellas clarifican"
"Indicativo
Presente

Ustedes [clarificar]";"Ustedes clarifican"
"Indicativo
Presente

yo [clasificar]";"yo clasifico"
"Indicativo
Presente

tú [clasificar]";"tú clasificas"
"Indicativo
Presente

él [clasificar]";"él clasifica"
"Indicativo
Presente

ella [clasificar]";"ella clasifica"
"Indicativo
Presente

Usted [clasificar]";"Usted clasifica"
"Indicativo
Presente

nosotros [clasificar]";"nosotros clasificamos"
"Indicativo
Presente

nosotras [clasificar]";"nosotras clasificamos"
"Indicativo
Presente

vosotros [clasificar]";"vosotros clasificáis"
"Indicativo
Presente

vosotras [clasificar]";"vosotras clasificáis"
"Indicativo
Presente

ellos [clasificar]";"ellos clasifican"
"Indicativo
Presente

ellas [clasificar]";"ellas clasifican"
"Indicativo
Presente

Ustedes [clasificar]";"Ustedes clasifican"
"Indicativo
Presente

yo [cobrar]";"yo cobro"
"Indicativo
Presente

tú [cobrar]";"tú cobras"
"Indicativo
Presente

él [cobrar]";"él cobra"
"Indicativo
Presente

ella [cobrar]";"ella cobra"
"Indicativo
Presente

Usted [cobrar]";"Usted cobra"
"Indicativo
Presente

nosotros [cobrar]";"nosotros cobramos"
"Indicativo
Presente

nosotras [cobrar]";"nosotras cobramos"
"Indicativo
Presente

vosotros [cobrar]";"vosotros cobráis"
"Indicativo
Presente

vosotras [cobrar]";"vosotras cobráis"
"Indicativo
Presente

ellos [cobrar]";"ellos cobran"
"Indicativo
Presente

ellas [cobrar]";"ellas cobran"
"Indicativo
Presente

Ustedes [cobrar]";"Ustedes cobran"
"Indicativo
Presente

yo [cocinar]";"yo cocino"
"Indicativo
Presente

tú [cocinar]";"tú cocinas"
"Indicativo
Presente

él [cocinar]";"él cocina"
"Indicativo
Presente

ella [cocinar]";"ella cocina"
"Indicativo
Presente

Usted [cocinar]";"Usted cocina"
"Indicativo
Presente

nosotros [cocinar]";"nosotros cocinamos"
"Indicativo
Presente

nosotras [cocinar]";"nosotras cocinamos"
"Indicativo
Presente

vosotros [cocinar]";"vosotros cocináis"
"Indicativo
Presente

vosotras [cocinar]";"vosotras cocináis"
"Indicativo
Presente

ellos [cocinar]";"ellos cocinan"
"Indicativo
Presente

ellas [cocinar]";"ellas cocinan"
"Indicativo
Presente

Ustedes [cocinar]";"Ustedes cocinan"
"Indicativo
Presente

yo [colgar]";"yo cuelgo"
"Indicativo
Presente

tú [colgar]";"tú cuelgas"
"Indicativo
Presente

él [colgar]";"él cuelga"
"Indicativo
Presente

ella [colgar]";"ella cuelga"
"Indicativo
Presente

Usted [colgar]";"Usted cuelga"
"Indicativo
Presente

nosotros [colgar]";"nosotros colgamos"
"Indicativo
Presente

nosotras [colgar]";"nosotras colgamos"
"Indicativo
Presente

vosotros [colgar]";"vosotros colgáis"
"Indicativo
Presente

vosotras [colgar]";"vosotras colgáis"
"Indicativo
Presente

ellos [colgar]";"ellos cuelgan"
"Indicativo
Presente

ellas [colgar]";"ellas cuelgan"
"Indicativo
Presente

Ustedes [colgar]";"Ustedes cuelgan"
"Indicativo
Presente

yo [colocar]";"yo coloco"
"Indicativo
Presente

tú [colocar]";"tú colocas"
"Indicativo
Presente

él [colocar]";"él coloca"
"Indicativo
Presente

ella [colocar]";"ella coloca"
"Indicativo
Presente

Usted [colocar]";"Usted coloca"
"Indicativo
Presente

nosotros [colocar]";"nosotros colocamos"
"Indicativo
Presente

nosotras [colocar]";"nosotras colocamos"
"Indicativo
Presente

vosotros [colocar]";"vosotros colocáis"
"Indicativo
Presente

vosotras [colocar]";"vosotras colocáis"
"Indicativo
Presente

ellos [colocar]";"ellos colocan"
"Indicativo
Presente

ellas [colocar]";"ellas colocan"
"Indicativo
Presente

Ustedes [colocar]";"Ustedes colocan"
"Indicativo
Presente

yo [colonizar]";"yo colonizo"
"Indicativo
Presente

tú [colonizar]";"tú colonizas"
"Indicativo
Presente

él [colonizar]";"él coloniza"
"Indicativo
Presente

ella [colonizar]";"ella coloniza"
"Indicativo
Presente

Usted [colonizar]";"Usted coloniza"
"Indicativo
Presente

nosotros [colonizar]";"nosotros colonizamos"
"Indicativo
Presente

nosotras [colonizar]";"nosotras colonizamos"
"Indicativo
Presente

vosotros [colonizar]";"vosotros colonizáis"
"Indicativo
Presente

vosotras [colonizar]";"vosotras colonizáis"
"Indicativo
Presente

ellos [colonizar]";"ellos colonizan"
"Indicativo
Presente

ellas [colonizar]";"ellas colonizan"
"Indicativo
Presente

Ustedes [colonizar]";"Ustedes colonizan"
"Indicativo
Presente

yo [comenzar]";"yo comienzo"
"Indicativo
Presente

tú [comenzar]";"tú comienzas"
"Indicativo
Presente

él [comenzar]";"él comienza"
"Indicativo
Presente

ella [comenzar]";"ella comienza"
"Indicativo
Presente

Usted [comenzar]";"Usted comienza"
"Indicativo
Presente

nosotros [comenzar]";"nosotros comenzamos"
"Indicativo
Presente

nosotras [comenzar]";"nosotras comenzamos"
"Indicativo
Presente

vosotros [comenzar]";"vosotros comenzáis"
"Indicativo
Presente

vosotras [comenzar]";"vosotras comenzáis"
"Indicativo
Presente

ellos [comenzar]";"ellos comienzan"
"Indicativo
Presente

ellas [comenzar]";"ellas comienzan"
"Indicativo
Presente

Ustedes [comenzar]";"Ustedes comienzan"
"Indicativo
Presente

yo [comprar]";"yo compro"
"Indicativo
Presente

tú [comprar]";"tú compras"
"Indicativo
Presente

él [comprar]";"él compra"
"Indicativo
Presente

ella [comprar]";"ella compra"
"Indicativo
Presente

Usted [comprar]";"Usted compra"
"Indicativo
Presente

nosotros [comprar]";"nosotros compramos"
"Indicativo
Presente

nosotras [comprar]";"nosotras compramos"
"Indicativo
Presente

vosotros [comprar]";"vosotros compráis"
"Indicativo
Presente

vosotras [comprar]";"vosotras compráis"
"Indicativo
Presente

ellos [comprar]";"ellos compran"
"Indicativo
Presente

ellas [comprar]";"ellas compran"
"Indicativo
Presente

Ustedes [comprar]";"Ustedes compran"
"Indicativo
Presente

yo [comunicar]";"yo comunico"
"Indicativo
Presente

tú [comunicar]";"tú comunicas"
"Indicativo
Presente

él [comunicar]";"él comunica"
"Indicativo
Presente

ella [comunicar]";"ella comunica"
"Indicativo
Presente

Usted [comunicar]";"Usted comunica"
"Indicativo
Presente

nosotros [comunicar]";"nosotros comunicamos"
"Indicativo
Presente

nosotras [comunicar]";"nosotras comunicamos"
"Indicativo
Presente

vosotros [comunicar]";"vosotros comunicáis"
"Indicativo
Presente

vosotras [comunicar]";"vosotras comunicáis"
"Indicativo
Presente

ellos [comunicar]";"ellos comunican"
"Indicativo
Presente

ellas [comunicar]";"ellas comunican"
"Indicativo
Presente

Ustedes [comunicar]";"Ustedes comunican"
"Indicativo
Presente

yo [condenar]";"yo condeno"
"Indicativo
Presente

tú [condenar]";"tú condenas"
"Indicativo
Presente

él [condenar]";"él condena"
"Indicativo
Presente

ella [condenar]";"ella condena"
"Indicativo
Presente

Usted [condenar]";"Usted condena"
"Indicativo
Presente

nosotros [condenar]";"nosotros condenamos"
"Indicativo
Presente

nosotras [condenar]";"nosotras condenamos"
"Indicativo
Presente

vosotros [condenar]";"vosotros condenáis"
"Indicativo
Presente

vosotras [condenar]";"vosotras condenáis"
"Indicativo
Presente

ellos [condenar]";"ellos condenan"
"Indicativo
Presente

ellas [condenar]";"ellas condenan"
"Indicativo
Presente

Ustedes [condenar]";"Ustedes condenan"
"Indicativo
Presente

yo [confesar]";"yo confieso"
"Indicativo
Presente

tú [confesar]";"tú confiesas"
"Indicativo
Presente

él [confesar]";"él confiesa"
"Indicativo
Presente

ella [confesar]";"ella confiesa"
"Indicativo
Presente

Usted [confesar]";"Usted confiesa"
"Indicativo
Presente

nosotros [confesar]";"nosotros confesamos"
"Indicativo
Presente

nosotras [confesar]";"nosotras confesamos"
"Indicativo
Presente

vosotros [confesar]";"vosotros confesáis"
"Indicativo
Presente

vosotras [confesar]";"vosotras confesáis"
"Indicativo
Presente

ellos [confesar]";"ellos confiesan"
"Indicativo
Presente

ellas [confesar]";"ellas confiesan"
"Indicativo
Presente

Ustedes [confesar]";"Ustedes confiesan"
"Indicativo
Presente

yo [confiar]";"yo confío"
"Indicativo
Presente

tú [confiar]";"tú confías"
"Indicativo
Presente

él [confiar]";"él confía"
"Indicativo
Presente

ella [confiar]";"ella confía"
"Indicativo
Presente

Usted [confiar]";"Usted confía"
"Indicativo
Presente

nosotros [confiar]";"nosotros confiamos"
"Indicativo
Presente

nosotras [confiar]";"nosotras confiamos"
"Indicativo
Presente

vosotros [confiar]";"vosotros confiáis"
"Indicativo
Presente

vosotras [confiar]";"vosotras confiáis"
"Indicativo
Presente

ellos [confiar]";"ellos confían"
"Indicativo
Presente

ellas [confiar]";"ellas confían"
"Indicativo
Presente

Ustedes [confiar]";"Ustedes confían"
"Indicativo
Presente

yo [confirmar]";"yo confirmo"
"Indicativo
Presente

tú [confirmar]";"tú confirmas"
"Indicativo
Presente

él [confirmar]";"él confirma"
"Indicativo
Presente

ella [confirmar]";"ella confirma"
"Indicativo
Presente

Usted [confirmar]";"Usted confirma"
"Indicativo
Presente

nosotros [confirmar]";"nosotros confirmamos"
"Indicativo
Presente

nosotras [confirmar]";"nosotras confirmamos"
"Indicativo
Presente

vosotros [confirmar]";"vosotros confirmáis"
"Indicativo
Presente

vosotras [confirmar]";"vosotras confirmáis"
"Indicativo
Presente

ellos [confirmar]";"ellos confirman"
"Indicativo
Presente

ellas [confirmar]";"ellas confirman"
"Indicativo
Presente

Ustedes [confirmar]";"Ustedes confirman"
"Indicativo
Presente

yo [confiscar]";"yo confisco"
"Indicativo
Presente

tú [confiscar]";"tú confiscas"
"Indicativo
Presente

él [confiscar]";"él confisca"
"Indicativo
Presente

ella [confiscar]";"ella confisca"
"Indicativo
Presente

Usted [confiscar]";"Usted confisca"
"Indicativo
Presente

nosotros [confiscar]";"nosotros confiscamos"
"Indicativo
Presente

nosotras [confiscar]";"nosotras confiscamos"
"Indicativo
Presente

vosotros [confiscar]";"vosotros confiscáis"
"Indicativo
Presente

vosotras [confiscar]";"vosotras confiscáis"
"Indicativo
Presente

ellos [confiscar]";"ellos confiscan"
"Indicativo
Presente

ellas [confiscar]";"ellas confiscan"
"Indicativo
Presente

Ustedes [confiscar]";"Ustedes confiscan"
"Indicativo
Presente

yo [conjugar]";"yo conjugo"
"Indicativo
Presente

tú [conjugar]";"tú conjugas"
"Indicativo
Presente

él [conjugar]";"él conjuga"
"Indicativo
Presente

ella [conjugar]";"ella conjuga"
"Indicativo
Presente

Usted [conjugar]";"Usted conjuga"
"Indicativo
Presente

nosotros [conjugar]";"nosotros conjugamos"
"Indicativo
Presente

nosotras [conjugar]";"nosotras conjugamos"
"Indicativo
Presente

vosotros [conjugar]";"vosotros conjugáis"
"Indicativo
Presente

vosotras [conjugar]";"vosotras conjugáis"
"Indicativo
Presente

ellos [conjugar]";"ellos conjugan"
"Indicativo
Presente

ellas [conjugar]";"ellas conjugan"
"Indicativo
Presente

Ustedes [conjugar]";"Ustedes conjugan"
"Indicativo
Presente

yo [conquistar]";"yo conquisto"
"Indicativo
Presente

tú [conquistar]";"tú conquistas"
"Indicativo
Presente

él [conquistar]";"él conquista"
"Indicativo
Presente

ella [conquistar]";"ella conquista"
"Indicativo
Presente

Usted [conquistar]";"Usted conquista"
"Indicativo
Presente

nosotros [conquistar]";"nosotros conquistamos"
"Indicativo
Presente

nosotras [conquistar]";"nosotras conquistamos"
"Indicativo
Presente

vosotros [conquistar]";"vosotros conquistáis"
"Indicativo
Presente

vosotras [conquistar]";"vosotras conquistáis"
"Indicativo
Presente

ellos [conquistar]";"ellos conquistan"
"Indicativo
Presente

ellas [conquistar]";"ellas conquistan"
"Indicativo
Presente

Ustedes [conquistar]";"Ustedes conquistan"
"Indicativo
Presente

yo [conservar]";"yo conservo"
"Indicativo
Presente

tú [conservar]";"tú conservas"
"Indicativo
Presente

él [conservar]";"él conserva"
"Indicativo
Presente

ella [conservar]";"ella conserva"
"Indicativo
Presente

Usted [conservar]";"Usted conserva"
"Indicativo
Presente

nosotros [conservar]";"nosotros conservamos"
"Indicativo
Presente

nosotras [conservar]";"nosotras conservamos"
"Indicativo
Presente

vosotros [conservar]";"vosotros conserváis"
"Indicativo
Presente

vosotras [conservar]";"vosotras conserváis"
"Indicativo
Presente

ellos [conservar]";"ellos conservan"
"Indicativo
Presente

ellas [conservar]";"ellas conservan"
"Indicativo
Presente

Ustedes [conservar]";"Ustedes conservan"
"Indicativo
Presente

yo [contaminar]";"yo contamino"
"Indicativo
Presente

tú [contaminar]";"tú contaminas"
"Indicativo
Presente

él [contaminar]";"él contamina"
"Indicativo
Presente

ella [contaminar]";"ella contamina"
"Indicativo
Presente

Usted [contaminar]";"Usted contamina"
"Indicativo
Presente

nosotros [contaminar]";"nosotros contaminamos"
"Indicativo
Presente

nosotras [contaminar]";"nosotras contaminamos"
"Indicativo
Presente

vosotros [contaminar]";"vosotros contamináis"
"Indicativo
Presente

vosotras [contaminar]";"vosotras contamináis"
"Indicativo
Presente

ellos [contaminar]";"ellos contaminan"
"Indicativo
Presente

ellas [contaminar]";"ellas contaminan"
"Indicativo
Presente

Ustedes [contaminar]";"Ustedes contaminan"
"Indicativo
Presente

yo [contar]";"yo cuento"
"Indicativo
Presente

tú [contar]";"tú cuentas"
"Indicativo
Presente

él [contar]";"él cuenta"
"Indicativo
Presente

ella [contar]";"ella cuenta"
"Indicativo
Presente

Usted [contar]";"Usted cuenta"
"Indicativo
Presente

nosotros [contar]";"nosotros contamos"
"Indicativo
Presente

nosotras [contar]";"nosotras contamos"
"Indicativo
Presente

vosotros [contar]";"vosotros contáis"
"Indicativo
Presente

vosotras [contar]";"vosotras contáis"
"Indicativo
Presente

ellos [contar]";"ellos cuentan"
"Indicativo
Presente

ellas [contar]";"ellas cuentan"
"Indicativo
Presente

Ustedes [contar]";"Ustedes cuentan"
"Indicativo
Presente

yo [contestar]";"yo contesto"
"Indicativo
Presente

tú [contestar]";"tú contestas"
"Indicativo
Presente

él [contestar]";"él contesta"
"Indicativo
Presente

ella [contestar]";"ella contesta"
"Indicativo
Presente

Usted [contestar]";"Usted contesta"
"Indicativo
Presente

nosotros [contestar]";"nosotros contestamos"
"Indicativo
Presente

nosotras [contestar]";"nosotras contestamos"
"Indicativo
Presente

vosotros [contestar]";"vosotros contestáis"
"Indicativo
Presente

vosotras [contestar]";"vosotras contestáis"
"Indicativo
Presente

ellos [contestar]";"ellos contestan"
"Indicativo
Presente

ellas [contestar]";"ellas contestan"
"Indicativo
Presente

Ustedes [contestar]";"Ustedes contestan"
"Indicativo
Presente

yo [continuar]";"yo continúo"
"Indicativo
Presente

tú [continuar]";"tú continúas"
"Indicativo
Presente

él [continuar]";"él continúa"
"Indicativo
Presente

ella [continuar]";"ella continúa"
"Indicativo
Presente

Usted [continuar]";"Usted continúa"
"Indicativo
Presente

nosotros [continuar]";"nosotros continuamos"
"Indicativo
Presente

nosotras [continuar]";"nosotras continuamos"
"Indicativo
Presente

vosotros [continuar]";"vosotros continuáis"
"Indicativo
Presente

vosotras [continuar]";"vosotras continuáis"
"Indicativo
Presente

ellos [continuar]";"ellos continúan"
"Indicativo
Presente

ellas [continuar]";"ellas continúan"
"Indicativo
Presente

Ustedes [continuar]";"Ustedes continúan"
"Indicativo
Presente

yo [controlar]";"yo controlo"
"Indicativo
Presente

tú [controlar]";"tú controlas"
"Indicativo
Presente

él [controlar]";"él controla"
"Indicativo
Presente

ella [controlar]";"ella controla"
"Indicativo
Presente

Usted [controlar]";"Usted controla"
"Indicativo
Presente

nosotros [controlar]";"nosotros controlamos"
"Indicativo
Presente

nosotras [controlar]";"nosotras controlamos"
"Indicativo
Presente

vosotros [controlar]";"vosotros controláis"
"Indicativo
Presente

vosotras [controlar]";"vosotras controláis"
"Indicativo
Presente

ellos [controlar]";"ellos controlan"
"Indicativo
Presente

ellas [controlar]";"ellas controlan"
"Indicativo
Presente

Ustedes [controlar]";"Ustedes controlan"
"Indicativo
Presente

yo [conversar]";"yo converso"
"Indicativo
Presente

tú [conversar]";"tú conversas"
"Indicativo
Presente

él [conversar]";"él conversa"
"Indicativo
Presente

ella [conversar]";"ella conversa"
"Indicativo
Presente

Usted [conversar]";"Usted conversa"
"Indicativo
Presente

nosotros [conversar]";"nosotros conversamos"
"Indicativo
Presente

nosotras [conversar]";"nosotras conversamos"
"Indicativo
Presente

vosotros [conversar]";"vosotros conversáis"
"Indicativo
Presente

vosotras [conversar]";"vosotras conversáis"
"Indicativo
Presente

ellos [conversar]";"ellos conversan"
"Indicativo
Presente

ellas [conversar]";"ellas conversan"
"Indicativo
Presente

Ustedes [conversar]";"Ustedes conversan"
"Indicativo
Presente

yo [convidar]";"yo convido"
"Indicativo
Presente

tú [convidar]";"tú convidas"
"Indicativo
Presente

él [convidar]";"él convida"
"Indicativo
Presente

ella [convidar]";"ella convida"
"Indicativo
Presente

Usted [convidar]";"Usted convida"
"Indicativo
Presente

nosotros [convidar]";"nosotros convidamos"
"Indicativo
Presente

nosotras [convidar]";"nosotras convidamos"
"Indicativo
Presente

vosotros [convidar]";"vosotros convidáis"
"Indicativo
Presente

vosotras [convidar]";"vosotras convidáis"
"Indicativo
Presente

ellos [convidar]";"ellos convidan"
"Indicativo
Presente

ellas [convidar]";"ellas convidan"
"Indicativo
Presente

Ustedes [convidar]";"Ustedes convidan"
"Indicativo
Presente

yo [copiar]";"yo copio"
"Indicativo
Presente

tú [copiar]";"tú copias"
"Indicativo
Presente

él [copiar]";"él copia"
"Indicativo
Presente

ella [copiar]";"ella copia"
"Indicativo
Presente

Usted [copiar]";"Usted copia"
"Indicativo
Presente

nosotros [copiar]";"nosotros copiamos"
"Indicativo
Presente

nosotras [copiar]";"nosotras copiamos"
"Indicativo
Presente

vosotros [copiar]";"vosotros copiáis"
"Indicativo
Presente

vosotras [copiar]";"vosotras copiáis"
"Indicativo
Presente

ellos [copiar]";"ellos copian"
"Indicativo
Presente

ellas [copiar]";"ellas copian"
