#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

nosotros [cancelar]";"nosotros cancelamos"
"Indicativo
Pretérito

nosotras [cancelar]";"nosotras cancelamos"
"Indicativo
Pretérito

vosotros [cancelar]";"vosotros cancelasteis"
"Indicativo
Pretérito

vosotras [cancelar]";"vosotras cancelasteis"
"Indicativo
Pretérito

ellos [cancelar]";"ellos cancelaron"
"Indicativo
Pretérito

ellas [cancelar]";"ellas cancelaron"
"Indicativo
Pretérito

Ustedes [cancelar]";"Ustedes cancelaron"
"Indicativo
Pretérito

yo [cansar]";"yo cansé"
"Indicativo
Pretérito

tú [cansar]";"tú cansaste"
"Indicativo
Pretérito

él [cansar]";"él cansó"
"Indicativo
Pretérito

ella [cansar]";"ella cansó"
"Indicativo
Pretérito

Usted [cansar]";"Usted cansó"
"Indicativo
Pretérito

nosotros [cansar]";"nosotros cansamos"
"Indicativo
Pretérito

nosotras [cansar]";"nosotras cansamos"
"Indicativo
Pretérito

vosotros [cansar]";"vosotros cansasteis"
"Indicativo
Pretérito

vosotras [cansar]";"vosotras cansasteis"
"Indicativo
Pretérito

ellos [cansar]";"ellos cansaron"
"Indicativo
Pretérito

ellas [cansar]";"ellas cansaron"
"Indicativo
Pretérito

Ustedes [cansar]";"Ustedes cansaron"
"Indicativo
Pretérito

yo [caracterizar]";"yo caractericé"
"Indicativo
Pretérito

tú [caracterizar]";"tú caracterizaste"
"Indicativo
Pretérito

él [caracterizar]";"él caracterizó"
"Indicativo
Pretérito

ella [caracterizar]";"ella caracterizó"
"Indicativo
Pretérito

Usted [caracterizar]";"Usted caracterizó"
"Indicativo
Pretérito

nosotros [caracterizar]";"nosotros caracterizamos"
"Indicativo
Pretérito

nosotras [caracterizar]";"nosotras caracterizamos"
"Indicativo
Pretérito

vosotros [caracterizar]";"vosotros caracterizasteis"
"Indicativo
Pretérito

vosotras [caracterizar]";"vosotras caracterizasteis"
"Indicativo
Pretérito

ellos [caracterizar]";"ellos caracterizaron"
"Indicativo
Pretérito

ellas [caracterizar]";"ellas caracterizaron"
"Indicativo
Pretérito

Ustedes [caracterizar]";"Ustedes caracterizaron"
"Indicativo
Pretérito

yo [cargar]";"yo cargué"
"Indicativo
Pretérito

tú [cargar]";"tú cargaste"
"Indicativo
Pretérito

él [cargar]";"él cargó"
"Indicativo
Pretérito

ella [cargar]";"ella cargó"
"Indicativo
Pretérito

Usted [cargar]";"Usted cargó"
"Indicativo
Pretérito

nosotros [cargar]";"nosotros cargamos"
"Indicativo
Pretérito

nosotras [cargar]";"nosotras cargamos"
"Indicativo
Pretérito

vosotros [cargar]";"vosotros cargasteis"
"Indicativo
Pretérito

vosotras [cargar]";"vosotras cargasteis"
"Indicativo
Pretérito

ellos [cargar]";"ellos cargaron"
"Indicativo
Pretérito

ellas [cargar]";"ellas cargaron"
"Indicativo
Pretérito

Ustedes [cargar]";"Ustedes cargaron"
"Indicativo
Pretérito

yo [casar]";"yo casé"
"Indicativo
Pretérito

tú [casar]";"tú casaste"
"Indicativo
Pretérito

él [casar]";"él casó"
"Indicativo
Pretérito

ella [casar]";"ella casó"
"Indicativo
Pretérito

Usted [casar]";"Usted casó"
"Indicativo
Pretérito

nosotros [casar]";"nosotros casamos"
"Indicativo
Pretérito

nosotras [casar]";"nosotras casamos"
"Indicativo
Pretérito

vosotros [casar]";"vosotros casasteis"
"Indicativo
Pretérito

vosotras [casar]";"vosotras casasteis"
"Indicativo
Pretérito

ellos [casar]";"ellos casaron"
"Indicativo
Pretérito

ellas [casar]";"ellas casaron"
"Indicativo
Pretérito

Ustedes [casar]";"Ustedes casaron"
"Indicativo
Pretérito

yo [castigar]";"yo castigué"
"Indicativo
Pretérito

tú [castigar]";"tú castigaste"
"Indicativo
Pretérito

él [castigar]";"él castigó"
"Indicativo
Pretérito

ella [castigar]";"ella castigó"
"Indicativo
Pretérito

Usted [castigar]";"Usted castigó"
"Indicativo
Pretérito

nosotros [castigar]";"nosotros castigamos"
"Indicativo
Pretérito

nosotras [castigar]";"nosotras castigamos"
"Indicativo
Pretérito

vosotros [castigar]";"vosotros castigasteis"
"Indicativo
Pretérito

vosotras [castigar]";"vosotras castigasteis"
"Indicativo
Pretérito

ellos [castigar]";"ellos castigaron"
"Indicativo
Pretérito

ellas [castigar]";"ellas castigaron"
"Indicativo
Pretérito

Ustedes [castigar]";"Ustedes castigaron"
"Indicativo
Pretérito

yo [causar]";"yo causé"
"Indicativo
Pretérito

tú [causar]";"tú causaste"
"Indicativo
Pretérito

él [causar]";"él causó"
"Indicativo
Pretérito

ella [causar]";"ella causó"
"Indicativo
Pretérito

Usted [causar]";"Usted causó"
"Indicativo
Pretérito

nosotros [causar]";"nosotros causamos"
"Indicativo
Pretérito

nosotras [causar]";"nosotras causamos"
"Indicativo
Pretérito

vosotros [causar]";"vosotros causasteis"
"Indicativo
Pretérito

vosotras [causar]";"vosotras causasteis"
"Indicativo
Pretérito

ellos [causar]";"ellos causaron"
"Indicativo
Pretérito

ellas [causar]";"ellas causaron"
"Indicativo
Pretérito

Ustedes [causar]";"Ustedes causaron"
"Indicativo
Pretérito

yo [cazar]";"yo cacé"
"Indicativo
Pretérito

tú [cazar]";"tú cazaste"
"Indicativo
Pretérito

él [cazar]";"él cazó"
"Indicativo
Pretérito

ella [cazar]";"ella cazó"
"Indicativo
Pretérito

Usted [cazar]";"Usted cazó"
"Indicativo
Pretérito

nosotros [cazar]";"nosotros cazamos"
"Indicativo
Pretérito

nosotras [cazar]";"nosotras cazamos"
"Indicativo
Pretérito

vosotros [cazar]";"vosotros cazasteis"
"Indicativo
Pretérito

vosotras [cazar]";"vosotras cazasteis"
"Indicativo
Pretérito

ellos [cazar]";"ellos cazaron"
"Indicativo
Pretérito

ellas [cazar]";"ellas cazaron"
"Indicativo
Pretérito

Ustedes [cazar]";"Ustedes cazaron"
"Indicativo
Pretérito

yo [celebrar]";"yo celebré"
"Indicativo
Pretérito

tú [celebrar]";"tú celebraste"
"Indicativo
Pretérito

él [celebrar]";"él celebró"
"Indicativo
Pretérito

ella [celebrar]";"ella celebró"
"Indicativo
Pretérito

Usted [celebrar]";"Usted celebró"
"Indicativo
Pretérito

nosotros [celebrar]";"nosotros celebramos"
"Indicativo
Pretérito

nosotras [celebrar]";"nosotras celebramos"
"Indicativo
Pretérito

vosotros [celebrar]";"vosotros celebrasteis"
"Indicativo
Pretérito

vosotras [celebrar]";"vosotras celebrasteis"
"Indicativo
Pretérito

ellos [celebrar]";"ellos celebraron"
"Indicativo
Pretérito

ellas [celebrar]";"ellas celebraron"
"Indicativo
Pretérito

Ustedes [celebrar]";"Ustedes celebraron"
"Indicativo
Pretérito

yo [cenar]";"yo cené"
"Indicativo
Pretérito

tú [cenar]";"tú cenaste"
"Indicativo
Pretérito

él [cenar]";"él cenó"
"Indicativo
Pretérito

ella [cenar]";"ella cenó"
"Indicativo
Pretérito

Usted [cenar]";"Usted cenó"
"Indicativo
Pretérito

nosotros [cenar]";"nosotros cenamos"
"Indicativo
Pretérito

nosotras [cenar]";"nosotras cenamos"
"Indicativo
Pretérito

vosotros [cenar]";"vosotros cenasteis"
"Indicativo
Pretérito

vosotras [cenar]";"vosotras cenasteis"
"Indicativo
Pretérito

ellos [cenar]";"ellos cenaron"
"Indicativo
Pretérito

ellas [cenar]";"ellas cenaron"
"Indicativo
Pretérito

Ustedes [cenar]";"Ustedes cenaron"
"Indicativo
Pretérito

yo [censurar]";"yo censuré"
"Indicativo
Pretérito

tú [censurar]";"tú censuraste"
"Indicativo
Pretérito

él [censurar]";"él censuró"
"Indicativo
Pretérito

ella [censurar]";"ella censuró"
"Indicativo
Pretérito

Usted [censurar]";"Usted censuró"
"Indicativo
Pretérito

nosotros [censurar]";"nosotros censuramos"
"Indicativo
Pretérito

nosotras [censurar]";"nosotras censuramos"
"Indicativo
Pretérito

vosotros [censurar]";"vosotros censurasteis"
"Indicativo
Pretérito

vosotras [censurar]";"vosotras censurasteis"
"Indicativo
Pretérito

ellos [censurar]";"ellos censuraron"
"Indicativo
Pretérito

ellas [censurar]";"ellas censuraron"
"Indicativo
Pretérito

Ustedes [censurar]";"Ustedes censuraron"
"Indicativo
Pretérito

yo [cepillar]";"yo cepillé"
"Indicativo
Pretérito

tú [cepillar]";"tú cepillaste"
"Indicativo
Pretérito

él [cepillar]";"él cepilló"
"Indicativo
Pretérito

ella [cepillar]";"ella cepilló"
"Indicativo
Pretérito

Usted [cepillar]";"Usted cepilló"
"Indicativo
Pretérito

nosotros [cepillar]";"nosotros cepillamos"
"Indicativo
Pretérito

nosotras [cepillar]";"nosotras cepillamos"
"Indicativo
Pretérito

vosotros [cepillar]";"vosotros cepillasteis"
"Indicativo
Pretérito

vosotras [cepillar]";"vosotras cepillasteis"
"Indicativo
Pretérito

ellos [cepillar]";"ellos cepillaron"
"Indicativo
Pretérito

ellas [cepillar]";"ellas cepillaron"
"Indicativo
Pretérito

Ustedes [cepillar]";"Ustedes cepillaron"
"Indicativo
Pretérito

yo [cerrar]";"yo cerré"
"Indicativo
Pretérito

tú [cerrar]";"tú cerraste"
"Indicativo
Pretérito

él [cerrar]";"él cerró"
"Indicativo
Pretérito

ella [cerrar]";"ella cerró"
"Indicativo
Pretérito

Usted [cerrar]";"Usted cerró"
"Indicativo
Pretérito

nosotros [cerrar]";"nosotros cerramos"
"Indicativo
Pretérito

nosotras [cerrar]";"nosotras cerramos"
"Indicativo
Pretérito

vosotros [cerrar]";"vosotros cerrasteis"
"Indicativo
Pretérito

vosotras [cerrar]";"vosotras cerrasteis"
"Indicativo
Pretérito

ellos [cerrar]";"ellos cerraron"
"Indicativo
Pretérito

ellas [cerrar]";"ellas cerraron"
"Indicativo
Pretérito

Ustedes [cerrar]";"Ustedes cerraron"
"Indicativo
Pretérito

yo [cesar]";"yo cesé"
"Indicativo
Pretérito

tú [cesar]";"tú cesaste"
"Indicativo
Pretérito

él [cesar]";"él cesó"
"Indicativo
Pretérito

ella [cesar]";"ella cesó"
"Indicativo
Pretérito

Usted [cesar]";"Usted cesó"
"Indicativo
Pretérito

nosotros [cesar]";"nosotros cesamos"
"Indicativo
Pretérito

nosotras [cesar]";"nosotras cesamos"
"Indicativo
Pretérito

vosotros [cesar]";"vosotros cesasteis"
"Indicativo
Pretérito

vosotras [cesar]";"vosotras cesasteis"
"Indicativo
Pretérito

ellos [cesar]";"ellos cesaron"
"Indicativo
Pretérito

ellas [cesar]";"ellas cesaron"
"Indicativo
Pretérito

Ustedes [cesar]";"Ustedes cesaron"
"Indicativo
Pretérito

yo [charlar]";"yo charlé"
"Indicativo
Pretérito

tú [charlar]";"tú charlaste"
"Indicativo
Pretérito

él [charlar]";"él charló"
"Indicativo
Pretérito

ella [charlar]";"ella charló"
"Indicativo
Pretérito

Usted [charlar]";"Usted charló"
"Indicativo
Pretérito

nosotros [charlar]";"nosotros charlamos"
"Indicativo
Pretérito

nosotras [charlar]";"nosotras charlamos"
"Indicativo
Pretérito

vosotros [charlar]";"vosotros charlasteis"
"Indicativo
Pretérito

vosotras [charlar]";"vosotras charlasteis"
"Indicativo
Pretérito

ellos [charlar]";"ellos charlaron"
"Indicativo
Pretérito

ellas [charlar]";"ellas charlaron"
"Indicativo
Pretérito

Ustedes [charlar]";"Ustedes charlaron"
"Indicativo
Pretérito

yo [chismear]";"yo chismeé"
"Indicativo
Pretérito

tú [chismear]";"tú chismeaste"
"Indicativo
Pretérito

él [chismear]";"él chismeó"
"Indicativo
Pretérito

ella [chismear]";"ella chismeó"
"Indicativo
Pretérito

Usted [chismear]";"Usted chismeó"
"Indicativo
Pretérito

nosotros [chismear]";"nosotros chismeamos"
"Indicativo
Pretérito

nosotras [chismear]";"nosotras chismeamos"
"Indicativo
Pretérito

vosotros [chismear]";"vosotros chismeasteis"
"Indicativo
Pretérito

vosotras [chismear]";"vosotras chismeasteis"
"Indicativo
Pretérito

ellos [chismear]";"ellos chismearon"
"Indicativo
Pretérito

ellas [chismear]";"ellas chismearon"
"Indicativo
Pretérito

Ustedes [chismear]";"Ustedes chismearon"
"Indicativo
Pretérito

yo [chocar]";"yo choqué"
"Indicativo
Pretérito

tú [chocar]";"tú chocaste"
"Indicativo
Pretérito

él [chocar]";"él chocó"
"Indicativo
Pretérito

ella [chocar]";"ella chocó"
"Indicativo
Pretérito

Usted [chocar]";"Usted chocó"
"Indicativo
Pretérito

nosotros [chocar]";"nosotros chocamos"
"Indicativo
Pretérito

nosotras [chocar]";"nosotras chocamos"
"Indicativo
Pretérito

vosotros [chocar]";"vosotros chocasteis"
"Indicativo
Pretérito

vosotras [chocar]";"vosotras chocasteis"
"Indicativo
Pretérito

ellos [chocar]";"ellos chocaron"
"Indicativo
Pretérito

ellas [chocar]";"ellas chocaron"
"Indicativo
Pretérito

Ustedes [chocar]";"Ustedes chocaron"
"Indicativo
Pretérito

yo [civilizar]";"yo civilicé"
"Indicativo
Pretérito

tú [civilizar]";"tú civilizaste"
"Indicativo
Pretérito

él [civilizar]";"él civilizó"
"Indicativo
Pretérito

ella [civilizar]";"ella civilizó"
"Indicativo
Pretérito

Usted [civilizar]";"Usted civilizó"
"Indicativo
Pretérito

nosotros [civilizar]";"nosotros civilizamos"
"Indicativo
Pretérito

nosotras [civilizar]";"nosotras civilizamos"
"Indicativo
Pretérito

vosotros [civilizar]";"vosotros civilizasteis"
"Indicativo
Pretérito

vosotras [civilizar]";"vosotras civilizasteis"
"Indicativo
Pretérito

ellos [civilizar]";"ellos civilizaron"
"Indicativo
Pretérito

ellas [civilizar]";"ellas civilizaron"
"Indicativo
Pretérito

Ustedes [civilizar]";"Ustedes civilizaron"
"Indicativo
Pretérito

yo [clarificar]";"yo clarifiqué"
"Indicativo
Pretérito

tú [clarificar]";"tú clarificaste"
"Indicativo
Pretérito

él [clarificar]";"él clarificó"
"Indicativo
Pretérito

ella [clarificar]";"ella clarificó"
"Indicativo
Pretérito

Usted [clarificar]";"Usted clarificó"
"Indicativo
Pretérito

nosotros [clarificar]";"nosotros clarificamos"
"Indicativo
Pretérito

nosotras [clarificar]";"nosotras clarificamos"
"Indicativo
Pretérito

vosotros [clarificar]";"vosotros clarificasteis"
"Indicativo
Pretérito

vosotras [clarificar]";"vosotras clarificasteis"
"Indicativo
Pretérito

ellos [clarificar]";"ellos clarificaron"
"Indicativo
Pretérito

ellas [clarificar]";"ellas clarificaron"
"Indicativo
Pretérito

Ustedes [clarificar]";"Ustedes clarificaron"
"Indicativo
Pretérito

yo [clasificar]";"yo clasifiqué"
"Indicativo
Pretérito

tú [clasificar]";"tú clasificaste"
"Indicativo
Pretérito

él [clasificar]";"él clasificó"
"Indicativo
Pretérito

ella [clasificar]";"ella clasificó"
"Indicativo
Pretérito

Usted [clasificar]";"Usted clasificó"
"Indicativo
Pretérito

nosotros [clasificar]";"nosotros clasificamos"
"Indicativo
Pretérito

nosotras [clasificar]";"nosotras clasificamos"
"Indicativo
Pretérito

vosotros [clasificar]";"vosotros clasificasteis"
"Indicativo
Pretérito

vosotras [clasificar]";"vosotras clasificasteis"
"Indicativo
Pretérito

ellos [clasificar]";"ellos clasificaron"
"Indicativo
Pretérito

ellas [clasificar]";"ellas clasificaron"
"Indicativo
Pretérito

Ustedes [clasificar]";"Ustedes clasificaron"
"Indicativo
Pretérito

yo [cobrar]";"yo cobré"
"Indicativo
Pretérito

tú [cobrar]";"tú cobraste"
"Indicativo
Pretérito

él [cobrar]";"él cobró"
"Indicativo
Pretérito

ella [cobrar]";"ella cobró"
"Indicativo
Pretérito

Usted [cobrar]";"Usted cobró"
"Indicativo
Pretérito

nosotros [cobrar]";"nosotros cobramos"
"Indicativo
Pretérito

nosotras [cobrar]";"nosotras cobramos"
"Indicativo
Pretérito

vosotros [cobrar]";"vosotros cobrasteis"
"Indicativo
Pretérito

vosotras [cobrar]";"vosotras cobrasteis"
"Indicativo
Pretérito

ellos [cobrar]";"ellos cobraron"
"Indicativo
Pretérito

ellas [cobrar]";"ellas cobraron"
"Indicativo
Pretérito

Ustedes [cobrar]";"Ustedes cobraron"
"Indicativo
Pretérito

yo [cocinar]";"yo cociné"
"Indicativo
Pretérito

tú [cocinar]";"tú cocinaste"
"Indicativo
Pretérito

él [cocinar]";"él cocinó"
"Indicativo
Pretérito

ella [cocinar]";"ella cocinó"
"Indicativo
Pretérito

Usted [cocinar]";"Usted cocinó"
"Indicativo
Pretérito

nosotros [cocinar]";"nosotros cocinamos"
"Indicativo
Pretérito

nosotras [cocinar]";"nosotras cocinamos"
"Indicativo
Pretérito

vosotros [cocinar]";"vosotros cocinasteis"
"Indicativo
Pretérito

vosotras [cocinar]";"vosotras cocinasteis"
"Indicativo
Pretérito

ellos [cocinar]";"ellos cocinaron"
"Indicativo
Pretérito

ellas [cocinar]";"ellas cocinaron"
"Indicativo
Pretérito

Ustedes [cocinar]";"Ustedes cocinaron"
"Indicativo
Pretérito

yo [colgar]";"yo colgué"
"Indicativo
Pretérito

tú [colgar]";"tú colgaste"
"Indicativo
Pretérito

él [colgar]";"él colgó"
"Indicativo
Pretérito

ella [colgar]";"ella colgó"
"Indicativo
Pretérito

Usted [colgar]";"Usted colgó"
"Indicativo
Pretérito

nosotros [colgar]";"nosotros colgamos"
"Indicativo
Pretérito

nosotras [colgar]";"nosotras colgamos"
"Indicativo
Pretérito

vosotros [colgar]";"vosotros colgasteis"
"Indicativo
Pretérito

vosotras [colgar]";"vosotras colgasteis"
"Indicativo
Pretérito

ellos [colgar]";"ellos colgaron"
"Indicativo
Pretérito

ellas [colgar]";"ellas colgaron"
"Indicativo
Pretérito

Ustedes [colgar]";"Ustedes colgaron"
"Indicativo
Pretérito

yo [colocar]";"yo coloqué"
"Indicativo
Pretérito

tú [colocar]";"tú colocaste"
"Indicativo
Pretérito

él [colocar]";"él colocó"
"Indicativo
Pretérito

ella [colocar]";"ella colocó"
"Indicativo
Pretérito

Usted [colocar]";"Usted colocó"
"Indicativo
Pretérito

nosotros [colocar]";"nosotros colocamos"
"Indicativo
Pretérito

nosotras [colocar]";"nosotras colocamos"
"Indicativo
Pretérito

vosotros [colocar]";"vosotros colocasteis"
"Indicativo
Pretérito

vosotras [colocar]";"vosotras colocasteis"
"Indicativo
Pretérito

ellos [colocar]";"ellos colocaron"
"Indicativo
Pretérito

ellas [colocar]";"ellas colocaron"
"Indicativo
Pretérito

Ustedes [colocar]";"Ustedes colocaron"
"Indicativo
Pretérito

yo [colonizar]";"yo colonicé"
"Indicativo
Pretérito

tú [colonizar]";"tú colonizaste"
"Indicativo
Pretérito

él [colonizar]";"él colonizó"
"Indicativo
Pretérito

ella [colonizar]";"ella colonizó"
"Indicativo
Pretérito

Usted [colonizar]";"Usted colonizó"
"Indicativo
Pretérito

nosotros [colonizar]";"nosotros colonizamos"
"Indicativo
Pretérito

nosotras [colonizar]";"nosotras colonizamos"
"Indicativo
Pretérito

vosotros [colonizar]";"vosotros colonizasteis"
"Indicativo
Pretérito

vosotras [colonizar]";"vosotras colonizasteis"
"Indicativo
Pretérito

ellos [colonizar]";"ellos colonizaron"
"Indicativo
Pretérito

ellas [colonizar]";"ellas colonizaron"
"Indicativo
Pretérito

Ustedes [colonizar]";"Ustedes colonizaron"
"Indicativo
Pretérito

yo [comenzar]";"yo comencé"
"Indicativo
Pretérito

tú [comenzar]";"tú comenzaste"
"Indicativo
Pretérito

él [comenzar]";"él comenzó"
"Indicativo
Pretérito

ella [comenzar]";"ella comenzó"
"Indicativo
Pretérito

Usted [comenzar]";"Usted comenzó"
"Indicativo
Pretérito

nosotros [comenzar]";"nosotros comenzamos"
"Indicativo
Pretérito

nosotras [comenzar]";"nosotras comenzamos"
"Indicativo
Pretérito

vosotros [comenzar]";"vosotros comenzasteis"
"Indicativo
Pretérito

vosotras [comenzar]";"vosotras comenzasteis"
"Indicativo
Pretérito

ellos [comenzar]";"ellos comenzaron"
"Indicativo
Pretérito

ellas [comenzar]";"ellas comenzaron"
"Indicativo
Pretérito

Ustedes [comenzar]";"Ustedes comenzaron"
"Indicativo
Pretérito

yo [comprar]";"yo compré"
"Indicativo
Pretérito

tú [comprar]";"tú compraste"
"Indicativo
Pretérito

él [comprar]";"él compró"
"Indicativo
Pretérito

ella [comprar]";"ella compró"
"Indicativo
Pretérito

Usted [comprar]";"Usted compró"
"Indicativo
Pretérito

nosotros [comprar]";"nosotros compramos"
"Indicativo
Pretérito

nosotras [comprar]";"nosotras compramos"
"Indicativo
Pretérito

vosotros [comprar]";"vosotros comprasteis"
"Indicativo
Pretérito

vosotras [comprar]";"vosotras comprasteis"
"Indicativo
Pretérito

ellos [comprar]";"ellos compraron"
"Indicativo
Pretérito

ellas [comprar]";"ellas compraron"
"Indicativo
Pretérito

Ustedes [comprar]";"Ustedes compraron"
"Indicativo
Pretérito

yo [comunicar]";"yo comuniqué"
"Indicativo
Pretérito

tú [comunicar]";"tú comunicaste"
"Indicativo
Pretérito

él [comunicar]";"él comunicó"
"Indicativo
Pretérito

ella [comunicar]";"ella comunicó"
"Indicativo
Pretérito

Usted [comunicar]";"Usted comunicó"
"Indicativo
Pretérito

nosotros [comunicar]";"nosotros comunicamos"
"Indicativo
Pretérito

nosotras [comunicar]";"nosotras comunicamos"
"Indicativo
Pretérito

vosotros [comunicar]";"vosotros comunicasteis"
"Indicativo
Pretérito

vosotras [comunicar]";"vosotras comunicasteis"
"Indicativo
Pretérito

ellos [comunicar]";"ellos comunicaron"
"Indicativo
Pretérito

ellas [comunicar]";"ellas comunicaron"
"Indicativo
Pretérito

Ustedes [comunicar]";"Ustedes comunicaron"
"Indicativo
Pretérito

yo [condenar]";"yo condené"
"Indicativo
Pretérito

tú [condenar]";"tú condenaste"
"Indicativo
Pretérito

él [condenar]";"él condenó"
"Indicativo
Pretérito

ella [condenar]";"ella condenó"
"Indicativo
Pretérito

Usted [condenar]";"Usted condenó"
"Indicativo
Pretérito

nosotros [condenar]";"nosotros condenamos"
"Indicativo
Pretérito

nosotras [condenar]";"nosotras condenamos"
"Indicativo
Pretérito

vosotros [condenar]";"vosotros condenasteis"
"Indicativo
Pretérito

vosotras [condenar]";"vosotras condenasteis"
"Indicativo
Pretérito

ellos [condenar]";"ellos condenaron"
"Indicativo
Pretérito

ellas [condenar]";"ellas condenaron"
"Indicativo
Pretérito

Ustedes [condenar]";"Ustedes condenaron"
"Indicativo
Pretérito

yo [confesar]";"yo confesé"
"Indicativo
Pretérito

tú [confesar]";"tú confesaste"
"Indicativo
Pretérito

él [confesar]";"él confesó"
"Indicativo
Pretérito

ella [confesar]";"ella confesó"
"Indicativo
Pretérito

Usted [confesar]";"Usted confesó"
"Indicativo
Pretérito

nosotros [confesar]";"nosotros confesamos"
"Indicativo
Pretérito

nosotras [confesar]";"nosotras confesamos"
"Indicativo
Pretérito

vosotros [confesar]";"vosotros confesasteis"
"Indicativo
Pretérito

vosotras [confesar]";"vosotras confesasteis"
"Indicativo
Pretérito

ellos [confesar]";"ellos confesaron"
"Indicativo
Pretérito

ellas [confesar]";"ellas confesaron"
"Indicativo
Pretérito

Ustedes [confesar]";"Ustedes confesaron"
"Indicativo
Pretérito

yo [confiar]";"yo confié"
"Indicativo
Pretérito

tú [confiar]";"tú confiaste"
"Indicativo
Pretérito

él [confiar]";"él confió"
"Indicativo
Pretérito

ella [confiar]";"ella confió"
"Indicativo
Pretérito

Usted [confiar]";"Usted confió"
"Indicativo
Pretérito

nosotros [confiar]";"nosotros confiamos"
"Indicativo
Pretérito

nosotras [confiar]";"nosotras confiamos"
"Indicativo
Pretérito

vosotros [confiar]";"vosotros confiasteis"
"Indicativo
Pretérito

vosotras [confiar]";"vosotras confiasteis"
"Indicativo
Pretérito

ellos [confiar]";"ellos confiaron"
"Indicativo
Pretérito

ellas [confiar]";"ellas confiaron"
"Indicativo
Pretérito

Ustedes [confiar]";"Ustedes confiaron"
"Indicativo
Pretérito

yo [confirmar]";"yo confirmé"
"Indicativo
Pretérito

tú [confirmar]";"tú confirmaste"
"Indicativo
Pretérito

él [confirmar]";"él confirmó"
"Indicativo
Pretérito

ella [confirmar]";"ella confirmó"
"Indicativo
Pretérito

Usted [confirmar]";"Usted confirmó"
"Indicativo
Pretérito

nosotros [confirmar]";"nosotros confirmamos"
"Indicativo
Pretérito

nosotras [confirmar]";"nosotras confirmamos"
"Indicativo
Pretérito

vosotros [confirmar]";"vosotros confirmasteis"
"Indicativo
Pretérito

vosotras [confirmar]";"vosotras confirmasteis"
"Indicativo
Pretérito

ellos [confirmar]";"ellos confirmaron"
"Indicativo
Pretérito

ellas [confirmar]";"ellas confirmaron"
"Indicativo
Pretérito

Ustedes [confirmar]";"Ustedes confirmaron"
"Indicativo
Pretérito

yo [confiscar]";"yo confisqué"
"Indicativo
Pretérito

tú [confiscar]";"tú confiscaste"
"Indicativo
Pretérito

él [confiscar]";"él confiscó"
"Indicativo
Pretérito

ella [confiscar]";"ella confiscó"
"Indicativo
Pretérito

Usted [confiscar]";"Usted confiscó"
"Indicativo
Pretérito

nosotros [confiscar]";"nosotros confiscamos"
"Indicativo
Pretérito

nosotras [confiscar]";"nosotras confiscamos"
"Indicativo
Pretérito

vosotros [confiscar]";"vosotros confiscasteis"
"Indicativo
Pretérito

vosotras [confiscar]";"vosotras confiscasteis"
"Indicativo
Pretérito

ellos [confiscar]";"ellos confiscaron"
"Indicativo
Pretérito

ellas [confiscar]";"ellas confiscaron"
"Indicativo
Pretérito

Ustedes [confiscar]";"Ustedes confiscaron"
"Indicativo
Pretérito

yo [conjugar]";"yo conjugué"
"Indicativo
Pretérito

tú [conjugar]";"tú conjugaste"
"Indicativo
Pretérito

él [conjugar]";"él conjugó"
"Indicativo
Pretérito

ella [conjugar]";"ella conjugó"
"Indicativo
Pretérito

Usted [conjugar]";"Usted conjugó"
"Indicativo
Pretérito

nosotros [conjugar]";"nosotros conjugamos"
"Indicativo
Pretérito

nosotras [conjugar]";"nosotras conjugamos"
"Indicativo
Pretérito

vosotros [conjugar]";"vosotros conjugasteis"
"Indicativo
Pretérito

vosotras [conjugar]";"vosotras conjugasteis"
"Indicativo
Pretérito

ellos [conjugar]";"ellos conjugaron"
"Indicativo
Pretérito

ellas [conjugar]";"ellas conjugaron"
"Indicativo
Pretérito

Ustedes [conjugar]";"Ustedes conjugaron"
"Indicativo
Pretérito

yo [conquistar]";"yo conquisté"
"Indicativo
Pretérito

tú [conquistar]";"tú conquistaste"
"Indicativo
Pretérito

él [conquistar]";"él conquistó"
"Indicativo
Pretérito

ella [conquistar]";"ella conquistó"
"Indicativo
Pretérito

Usted [conquistar]";"Usted conquistó"
"Indicativo
Pretérito

nosotros [conquistar]";"nosotros conquistamos"
"Indicativo
Pretérito

nosotras [conquistar]";"nosotras conquistamos"
"Indicativo
Pretérito

vosotros [conquistar]";"vosotros conquistasteis"
"Indicativo
Pretérito

vosotras [conquistar]";"vosotras conquistasteis"
"Indicativo
Pretérito

ellos [conquistar]";"ellos conquistaron"
"Indicativo
Pretérito

ellas [conquistar]";"ellas conquistaron"
"Indicativo
Pretérito

Ustedes [conquistar]";"Ustedes conquistaron"
"Indicativo
Pretérito

yo [conservar]";"yo conservé"
"Indicativo
Pretérito

tú [conservar]";"tú conservaste"
"Indicativo
Pretérito

él [conservar]";"él conservó"
"Indicativo
Pretérito

ella [conservar]";"ella conservó"
"Indicativo
Pretérito

Usted [conservar]";"Usted conservó"
"Indicativo
Pretérito

nosotros [conservar]";"nosotros conservamos"
"Indicativo
Pretérito

nosotras [conservar]";"nosotras conservamos"
"Indicativo
Pretérito

vosotros [conservar]";"vosotros conservasteis"
"Indicativo
Pretérito

vosotras [conservar]";"vosotras conservasteis"
"Indicativo
Pretérito

ellos [conservar]";"ellos conservaron"
