#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abrir]";"yo abro"
"Indicativo
Presente

nosotras [convenir]";"nosotras convenimos"
"Indicativo
Presente

vosotros [convenir]";"vosotros convenís"
"Indicativo
Presente

vosotras [convenir]";"vosotras convenís"
"Indicativo
Presente

ellos [convenir]";"ellos convienen"
"Indicativo
Presente

ellas [convenir]";"ellas convienen"
"Indicativo
Presente

Ustedes [convenir]";"Ustedes convienen"
"Indicativo
Presente

yo [convertir]";"yo convierto"
"Indicativo
Presente

tú [convertir]";"tú conviertes"
"Indicativo
Presente

él [convertir]";"él convierte"
"Indicativo
Presente

ella [convertir]";"ella convierte"
"Indicativo
Presente

Usted [convertir]";"Usted convierte"
"Indicativo
Presente

nosotros [convertir]";"nosotros convertimos"
"Indicativo
Presente

nosotras [convertir]";"nosotras convertimos"
"Indicativo
Presente

vosotros [convertir]";"vosotros convertís"
"Indicativo
Presente

vosotras [convertir]";"vosotras convertís"
"Indicativo
Presente

ellos [convertir]";"ellos convierten"
"Indicativo
Presente

ellas [convertir]";"ellas convierten"
"Indicativo
Presente

Ustedes [convertir]";"Ustedes convierten"
"Indicativo
Presente

yo [corregir]";"yo corrijo"
"Indicativo
Presente

tú [corregir]";"tú corriges"
"Indicativo
Presente

él [corregir]";"él corrige"
"Indicativo
Presente

ella [corregir]";"ella corrige"
"Indicativo
Presente

Usted [corregir]";"Usted corrige"
"Indicativo
Presente

nosotros [corregir]";"nosotros corregimos"
"Indicativo
Presente

nosotras [corregir]";"nosotras corregimos"
"Indicativo
Presente

vosotros [corregir]";"vosotros corregís"
"Indicativo
Presente

vosotras [corregir]";"vosotras corregís"
"Indicativo
Presente

ellos [corregir]";"ellos corrigen"
"Indicativo
Presente

ellas [corregir]";"ellas corrigen"
"Indicativo
Presente

Ustedes [corregir]";"Ustedes corrigen"
"Indicativo
Presente

yo [correr]";"yo corro"
"Indicativo
Presente

tú [correr]";"tú corres"
"Indicativo
Presente

él [correr]";"él corre"
"Indicativo
Presente

ella [correr]";"ella corre"
"Indicativo
Presente

Usted [correr]";"Usted corre"
"Indicativo
Presente

nosotros [correr]";"nosotros corremos"
"Indicativo
Presente

nosotras [correr]";"nosotras corremos"
"Indicativo
Presente

vosotros [correr]";"vosotros corréis"
"Indicativo
Presente

vosotras [correr]";"vosotras corréis"
"Indicativo
Presente

ellos [correr]";"ellos corren"
"Indicativo
Presente

ellas [correr]";"ellas corren"
"Indicativo
Presente

Ustedes [correr]";"Ustedes corren"
"Indicativo
Presente

yo [coser]";"yo coso"
"Indicativo
Presente

tú [coser]";"tú coses"
"Indicativo
Presente

él [coser]";"él cose"
"Indicativo
Presente

ella [coser]";"ella cose"
"Indicativo
Presente

Usted [coser]";"Usted cose"
"Indicativo
Presente

nosotros [coser]";"nosotros cosemos"
"Indicativo
Presente

nosotras [coser]";"nosotras cosemos"
"Indicativo
Presente

vosotros [coser]";"vosotros coséis"
"Indicativo
Presente

vosotras [coser]";"vosotras coséis"
"Indicativo
Presente

ellos [coser]";"ellos cosen"
"Indicativo
Presente

ellas [coser]";"ellas cosen"
"Indicativo
Presente

Ustedes [coser]";"Ustedes cosen"
"Indicativo
Presente

yo [crecer]";"yo crezco"
"Indicativo
Presente

tú [crecer]";"tú creces"
"Indicativo
Presente

él [crecer]";"él crece"
"Indicativo
Presente

ella [crecer]";"ella crece"
"Indicativo
Presente

Usted [crecer]";"Usted crece"
"Indicativo
Presente

nosotros [crecer]";"nosotros crecemos"
"Indicativo
Presente

nosotras [crecer]";"nosotras crecemos"
"Indicativo
Presente

vosotros [crecer]";"vosotros crecéis"
"Indicativo
Presente

vosotras [crecer]";"vosotras crecéis"
"Indicativo
Presente

ellos [crecer]";"ellos crecen"
"Indicativo
Presente

ellas [crecer]";"ellas crecen"
"Indicativo
Presente

Ustedes [crecer]";"Ustedes crecen"
"Indicativo
Presente

yo [creer]";"yo creo"
"Indicativo
Presente

tú [creer]";"tú crees"
"Indicativo
Presente

él [creer]";"él cree"
"Indicativo
Presente

ella [creer]";"ella cree"
"Indicativo
Presente

Usted [creer]";"Usted cree"
"Indicativo
Presente

nosotros [creer]";"nosotros creemos"
"Indicativo
Presente

nosotras [creer]";"nosotras creemos"
"Indicativo
Presente

vosotros [creer]";"vosotros creéis"
"Indicativo
Presente

vosotras [creer]";"vosotras creéis"
"Indicativo
Presente

ellos [creer]";"ellos creen"
"Indicativo
Presente

ellas [creer]";"ellas creen"
"Indicativo
Presente

Ustedes [creer]";"Ustedes creen"
"Indicativo
Presente

yo [cubrir]";"yo cubro"
"Indicativo
Presente

tú [cubrir]";"tú cubres"
"Indicativo
Presente

él [cubrir]";"él cubre"
"Indicativo
Presente

ella [cubrir]";"ella cubre"
"Indicativo
Presente

Usted [cubrir]";"Usted cubre"
"Indicativo
Presente

nosotros [cubrir]";"nosotros cubrimos"
"Indicativo
Presente

nosotras [cubrir]";"nosotras cubrimos"
"Indicativo
Presente

vosotros [cubrir]";"vosotros cubrís"
"Indicativo
Presente

vosotras [cubrir]";"vosotras cubrís"
"Indicativo
Presente

ellos [cubrir]";"ellos cubren"
"Indicativo
Presente

ellas [cubrir]";"ellas cubren"
"Indicativo
Presente

Ustedes [cubrir]";"Ustedes cubren"
"Indicativo
Presente

yo [cumplir]";"yo cumplo"
"Indicativo
Presente

tú [cumplir]";"tú cumples"
"Indicativo
Presente

él [cumplir]";"él cumple"
"Indicativo
Presente

ella [cumplir]";"ella cumple"
"Indicativo
Presente

Usted [cumplir]";"Usted cumple"
"Indicativo
Presente

nosotros [cumplir]";"nosotros cumplimos"
"Indicativo
Presente

nosotras [cumplir]";"nosotras cumplimos"
"Indicativo
Presente

vosotros [cumplir]";"vosotros cumplís"
"Indicativo
Presente

vosotras [cumplir]";"vosotras cumplís"
"Indicativo
Presente

ellos [cumplir]";"ellos cumplen"
"Indicativo
Presente

ellas [cumplir]";"ellas cumplen"
"Indicativo
Presente

Ustedes [cumplir]";"Ustedes cumplen"
"Indicativo
Presente

yo [deber]";"yo debo"
"Indicativo
Presente

tú [deber]";"tú debes"
"Indicativo
Presente

él [deber]";"él debe"
"Indicativo
Presente

ella [deber]";"ella debe"
"Indicativo
Presente

Usted [deber]";"Usted debe"
"Indicativo
Presente

nosotros [deber]";"nosotros debemos"
"Indicativo
Presente

nosotras [deber]";"nosotras debemos"
"Indicativo
Presente

vosotros [deber]";"vosotros debéis"
"Indicativo
Presente

vosotras [deber]";"vosotras debéis"
"Indicativo
Presente

ellos [deber]";"ellos deben"
"Indicativo
Presente

ellas [deber]";"ellas deben"
"Indicativo
Presente

Ustedes [deber]";"Ustedes deben"
"Indicativo
Presente

yo [decidir]";"yo decido"
"Indicativo
Presente

tú [decidir]";"tú decides"
"Indicativo
Presente

él [decidir]";"él decide"
"Indicativo
Presente

ella [decidir]";"ella decide"
"Indicativo
Presente

Usted [decidir]";"Usted decide"
"Indicativo
Presente

nosotros [decidir]";"nosotros decidimos"
"Indicativo
Presente

nosotras [decidir]";"nosotras decidimos"
"Indicativo
Presente

vosotros [decidir]";"vosotros decidís"
"Indicativo
Presente

vosotras [decidir]";"vosotras decidís"
"Indicativo
Presente

ellos [decidir]";"ellos deciden"
"Indicativo
Presente

ellas [decidir]";"ellas deciden"
"Indicativo
Presente

Ustedes [decidir]";"Ustedes deciden"
"Indicativo
Presente

yo [depender]";"yo dependo"
"Indicativo
Presente

tú [depender]";"tú dependes"
"Indicativo
Presente

él [depender]";"él depende"
"Indicativo
Presente

ella [depender]";"ella depende"
"Indicativo
Presente

Usted [depender]";"Usted depende"
"Indicativo
Presente

nosotros [depender]";"nosotros dependemos"
"Indicativo
Presente

nosotras [depender]";"nosotras dependemos"
"Indicativo
Presente

vosotros [depender]";"vosotros dependéis"
"Indicativo
Presente

vosotras [depender]";"vosotras dependéis"
"Indicativo
Presente

ellos [depender]";"ellos dependen"
"Indicativo
Presente

ellas [depender]";"ellas dependen"
"Indicativo
Presente

Ustedes [depender]";"Ustedes dependen"
"Indicativo
Presente

yo [decir]";"yo digo"
"Indicativo
Presente

tú [decir]";"tú dices"
"Indicativo
Presente

él [decir]";"él dice"
"Indicativo
Presente

ella [decir]";"ella dice"
"Indicativo
Presente

Usted [decir]";"Usted dice"
"Indicativo
Presente

nosotros [decir]";"nosotros decimos"
"Indicativo
Presente

nosotras [decir]";"nosotras decimos"
"Indicativo
Presente

vosotros [decir]";"vosotros decís"
"Indicativo
Presente

vosotras [decir]";"vosotras decís"
"Indicativo
Presente

ellos [decir]";"ellos dicen"
"Indicativo
Presente

ellas [decir]";"ellas dicen"
"Indicativo
Presente

Ustedes [decir]";"Ustedes dicen"
"Indicativo
Presente

yo [defender]";"yo defiendo"
"Indicativo
Presente

tú [defender]";"tú defiendes"
"Indicativo
Presente

él [defender]";"él defiende"
"Indicativo
Presente

ella [defender]";"ella defiende"
"Indicativo
Presente

Usted [defender]";"Usted defiende"
"Indicativo
Presente

nosotros [defender]";"nosotros defendemos"
"Indicativo
Presente

nosotras [defender]";"nosotras defendemos"
"Indicativo
Presente

vosotros [defender]";"vosotros defendéis"
"Indicativo
Presente

vosotras [defender]";"vosotras defendéis"
"Indicativo
Presente

ellos [defender]";"ellos defienden"
"Indicativo
Presente

ellas [defender]";"ellas defienden"
"Indicativo
Presente

Ustedes [defender]";"Ustedes defienden"
"Indicativo
Presente

yo [deprimir]";"yo deprimo"
"Indicativo
Presente

tú [deprimir]";"tú deprimes"
"Indicativo
Presente

él [deprimir]";"él deprime"
"Indicativo
Presente

ella [deprimir]";"ella deprime"
"Indicativo
Presente

Usted [deprimir]";"Usted deprime"
"Indicativo
Presente

nosotros [deprimir]";"nosotros deprimimos"
"Indicativo
Presente

nosotras [deprimir]";"nosotras deprimimos"
"Indicativo
Presente

vosotros [deprimir]";"vosotros deprimís"
"Indicativo
Presente

vosotras [deprimir]";"vosotras deprimís"
"Indicativo
Presente

ellos [deprimir]";"ellos deprimen"
"Indicativo
Presente

ellas [deprimir]";"ellas deprimen"
"Indicativo
Presente

Ustedes [deprimir]";"Ustedes deprimen"
"Indicativo
Presente

yo [derretir]";"yo derrito"
"Indicativo
Presente

tú [derretir]";"tú derrites"
"Indicativo
Presente

él [derretir]";"él derrite"
"Indicativo
Presente

ella [derretir]";"ella derrite"
"Indicativo
Presente

Usted [derretir]";"Usted derrite"
"Indicativo
Presente

nosotros [derretir]";"nosotros derretimos"
"Indicativo
Presente

nosotras [derretir]";"nosotras derretimos"
"Indicativo
Presente

vosotros [derretir]";"vosotros derretís"
"Indicativo
Presente

vosotras [derretir]";"vosotras derretís"
"Indicativo
Presente

ellos [derretir]";"ellos derriten"
"Indicativo
Presente

ellas [derretir]";"ellas derriten"
"Indicativo
Presente

Ustedes [derretir]";"Ustedes derriten"
"Indicativo
Presente

yo [desagradecer]";"yo desagradezco"
"Indicativo
Presente

tú [desagradecer]";"tú desagradeces"
"Indicativo
Presente

él [desagradecer]";"él desagradece"
"Indicativo
Presente

ella [desagradecer]";"ella desagradece"
"Indicativo
Presente

Usted [desagradecer]";"Usted desagradece"
"Indicativo
Presente

nosotros [desagradecer]";"nosotros desagradecemos"
"Indicativo
Presente

nosotras [desagradecer]";"nosotras desagradecemos"
"Indicativo
Presente

vosotros [desagradecer]";"vosotros desagradecéis"
"Indicativo
Presente

vosotras [desagradecer]";"vosotras desagradecéis"
"Indicativo
Presente

ellos [desagradecer]";"ellos desagradecen"
"Indicativo
Presente

ellas [desagradecer]";"ellas desagradecen"
"Indicativo
Presente

Ustedes [desagradecer]";"Ustedes desagradecen"
"Indicativo
Presente

yo [desaparecer]";"yo desaparezco"
"Indicativo
Presente

tú [desaparecer]";"tú desapareces"
"Indicativo
Presente

él [desaparecer]";"él desaparece"
"Indicativo
Presente

ella [desaparecer]";"ella desaparece"
"Indicativo
Presente

Usted [desaparecer]";"Usted desaparece"
"Indicativo
Presente

nosotros [desaparecer]";"nosotros desaparecemos"
"Indicativo
Presente

nosotras [desaparecer]";"nosotras desaparecemos"
"Indicativo
Presente

vosotros [desaparecer]";"vosotros desaparecéis"
"Indicativo
Presente

vosotras [desaparecer]";"vosotras desaparecéis"
"Indicativo
Presente

ellos [desaparecer]";"ellos desaparecen"
"Indicativo
Presente

ellas [desaparecer]";"ellas desaparecen"
"Indicativo
Presente

Ustedes [desaparecer]";"Ustedes desaparecen"
"Indicativo
Presente

yo [descender]";"yo desciendo"
"Indicativo
Presente

tú [descender]";"tú desciendes"
"Indicativo
Presente

él [descender]";"él desciende"
"Indicativo
Presente

ella [descender]";"ella desciende"
"Indicativo
Presente

Usted [descender]";"Usted desciende"
"Indicativo
Presente

nosotros [descender]";"nosotros descendemos"
"Indicativo
Presente

nosotras [descender]";"nosotras descendemos"
"Indicativo
Presente

vosotros [descender]";"vosotros descendéis"
"Indicativo
Presente

vosotras [descender]";"vosotras descendéis"
"Indicativo
Presente

ellos [descender]";"ellos descienden"
"Indicativo
Presente

ellas [descender]";"ellas descienden"
"Indicativo
Presente

Ustedes [descender]";"Ustedes descienden"
"Indicativo
Presente

yo [describir]";"yo describo"
"Indicativo
Presente

tú [describir]";"tú describes"
"Indicativo
Presente

él [describir]";"él describe"
"Indicativo
Presente

ella [describir]";"ella describe"
"Indicativo
Presente

Usted [describir]";"Usted describe"
"Indicativo
Presente

nosotros [describir]";"nosotros describimos"
"Indicativo
Presente

nosotras [describir]";"nosotras describimos"
"Indicativo
Presente

vosotros [describir]";"vosotros describís"
"Indicativo
Presente

vosotras [describir]";"vosotras describís"
"Indicativo
Presente

ellos [describir]";"ellos describen"
"Indicativo
Presente

ellas [describir]";"ellas describen"
"Indicativo
Presente

Ustedes [describir]";"Ustedes describen"
"Indicativo
Presente

yo [descubrir]";"yo descubro"
"Indicativo
Presente

tú [descubrir]";"tú descubres"
"Indicativo
Presente

él [descubrir]";"él descubre"
"Indicativo
Presente

ella [descubrir]";"ella descubre"
"Indicativo
Presente

Usted [descubrir]";"Usted descubre"
"Indicativo
Presente

nosotros [descubrir]";"nosotros descubrimos"
"Indicativo
Presente

nosotras [descubrir]";"nosotras descubrimos"
"Indicativo
Presente

vosotros [descubrir]";"vosotros descubrís"
"Indicativo
Presente

vosotras [descubrir]";"vosotras descubrís"
"Indicativo
Presente

ellos [descubrir]";"ellos descubren"
"Indicativo
Presente

ellas [descubrir]";"ellas descubren"
"Indicativo
Presente

Ustedes [descubrir]";"Ustedes descubren"
"Indicativo
Presente

yo [deshacer]";"yo deshago"
"Indicativo
Presente

tú [deshacer]";"tú deshaces"
"Indicativo
Presente

él [deshacer]";"él deshace"
"Indicativo
Presente

ella [deshacer]";"ella deshace"
"Indicativo
Presente

Usted [deshacer]";"Usted deshace"
"Indicativo
Presente

nosotros [deshacer]";"nosotros deshacemos"
"Indicativo
Presente

nosotras [deshacer]";"nosotras deshacemos"
"Indicativo
Presente

vosotros [deshacer]";"vosotros deshacéis"
"Indicativo
Presente

vosotras [deshacer]";"vosotras deshacéis"
"Indicativo
Presente

ellos [deshacer]";"ellos deshacen"
"Indicativo
Presente

ellas [deshacer]";"ellas deshacen"
"Indicativo
Presente

Ustedes [deshacer]";"Ustedes deshacen"
"Indicativo
Presente

yo [despedir]";"yo despido"
"Indicativo
Presente

tú [despedir]";"tú despides"
"Indicativo
Presente

él [despedir]";"él despide"
"Indicativo
Presente

ella [despedir]";"ella despide"
"Indicativo
Presente

Usted [despedir]";"Usted despide"
"Indicativo
Presente

nosotros [despedir]";"nosotros despedimos"
"Indicativo
Presente

nosotras [despedir]";"nosotras despedimos"
"Indicativo
Presente

vosotros [despedir]";"vosotros despedís"
"Indicativo
Presente

vosotras [despedir]";"vosotras despedís"
"Indicativo
Presente

ellos [despedir]";"ellos despiden"
"Indicativo
Presente

ellas [despedir]";"ellas despiden"
"Indicativo
Presente

Ustedes [despedir]";"Ustedes despiden"
"Indicativo
Presente

yo [destruir]";"yo destruyo"
"Indicativo
Presente

tú [destruir]";"tú destruyes"
"Indicativo
Presente

él [destruir]";"él destruye"
"Indicativo
Presente

ella [destruir]";"ella destruye"
"Indicativo
Presente

Usted [destruir]";"Usted destruye"
"Indicativo
Presente

nosotros [destruir]";"nosotros destruimos"
"Indicativo
Presente

nosotras [destruir]";"nosotras destruimos"
"Indicativo
Presente

vosotros [destruir]";"vosotros destruís"
"Indicativo
Presente

vosotras [destruir]";"vosotras destruís"
"Indicativo
Presente

ellos [destruir]";"ellos destruyen"
"Indicativo
Presente

ellas [destruir]";"ellas destruyen"
"Indicativo
Presente

Ustedes [destruir]";"Ustedes destruyen"
"Indicativo
Presente

yo [detener]";"yo detengo"
"Indicativo
Presente

tú [detener]";"tú detienes"
"Indicativo
Presente

él [detener]";"él detiene"
"Indicativo
Presente

ella [detener]";"ella detiene"
"Indicativo
Presente

Usted [detener]";"Usted detiene"
"Indicativo
Presente

nosotros [detener]";"nosotros detenemos"
"Indicativo
Presente

nosotras [detener]";"nosotras detenemos"
"Indicativo
Presente

vosotros [detener]";"vosotros detenéis"
"Indicativo
Presente

vosotras [detener]";"vosotras detenéis"
"Indicativo
Presente

ellos [detener]";"ellos detienen"
"Indicativo
Presente

ellas [detener]";"ellas detienen"
"Indicativo
Presente

Ustedes [detener]";"Ustedes detienen"
"Indicativo
Presente

yo [devolver]";"yo devuelvo"
"Indicativo
Presente

tú [devolver]";"tú devuelves"
"Indicativo
Presente

él [devolver]";"él devuelve"
"Indicativo
Presente

ella [devolver]";"ella devuelve"
"Indicativo
Presente

Usted [devolver]";"Usted devuelve"
"Indicativo
Presente

nosotros [devolver]";"nosotros devolvemos"
"Indicativo
Presente

nosotras [devolver]";"nosotras devolvemos"
"Indicativo
Presente

vosotros [devolver]";"vosotros devolvéis"
"Indicativo
Presente

vosotras [devolver]";"vosotras devolvéis"
"Indicativo
Presente

ellos [devolver]";"ellos devuelven"
"Indicativo
Presente

ellas [devolver]";"ellas devuelven"
"Indicativo
Presente

Ustedes [devolver]";"Ustedes devuelven"
"Indicativo
Presente

yo [dirigir]";"yo dirijo"
"Indicativo
Presente

tú [dirigir]";"tú diriges"
"Indicativo
Presente

él [dirigir]";"él dirige"
"Indicativo
Presente

ella [dirigir]";"ella dirige"
"Indicativo
Presente

Usted [dirigir]";"Usted dirige"
"Indicativo
Presente

nosotros [dirigir]";"nosotros dirigimos"
"Indicativo
Presente

nosotras [dirigir]";"nosotras dirigimos"
"Indicativo
Presente

vosotros [dirigir]";"vosotros dirigís"
"Indicativo
Presente

vosotras [dirigir]";"vosotras dirigís"
"Indicativo
Presente

ellos [dirigir]";"ellos dirigen"
"Indicativo
Presente

ellas [dirigir]";"ellas dirigen"
"Indicativo
Presente

Ustedes [dirigir]";"Ustedes dirigen"
"Indicativo
Presente

yo [disminuir]";"yo disminuyo"
"Indicativo
Presente

tú [disminuir]";"tú disminuyes"
"Indicativo
Presente

él [disminuir]";"él disminuye"
"Indicativo
Presente

ella [disminuir]";"ella disminuye"
"Indicativo
Presente

Usted [disminuir]";"Usted disminuye"
"Indicativo
Presente

nosotros [disminuir]";"nosotros disminuimos"
"Indicativo
Presente

nosotras [disminuir]";"nosotras disminuimos"
"Indicativo
Presente

vosotros [disminuir]";"vosotros disminuís"
"Indicativo
Presente

vosotras [disminuir]";"vosotras disminuís"
"Indicativo
Presente

ellos [disminuir]";"ellos disminuyen"
"Indicativo
Presente

ellas [disminuir]";"ellas disminuyen"
"Indicativo
Presente

Ustedes [disminuir]";"Ustedes disminuyen"
"Indicativo
Presente

yo [distinguir]";"yo distingo"
"Indicativo
Presente

tú [distinguir]";"tú distingues"
"Indicativo
Presente

él [distinguir]";"él distingue"
"Indicativo
Presente

ella [distinguir]";"ella distingue"
"Indicativo
Presente

Usted [distinguir]";"Usted distingue"
"Indicativo
Presente

nosotros [distinguir]";"nosotros distinguimos"
"Indicativo
Presente

nosotras [distinguir]";"nosotras distinguimos"
"Indicativo
Presente

vosotros [distinguir]";"vosotros distinguís"
"Indicativo
Presente

vosotras [distinguir]";"vosotras distinguís"
"Indicativo
Presente

ellos [distinguir]";"ellos distinguen"
"Indicativo
Presente

ellas [distinguir]";"ellas distinguen"
"Indicativo
Presente

Ustedes [distinguir]";"Ustedes distinguen"
"Indicativo
Presente

yo [distribuir]";"yo distribuyo"
"Indicativo
Presente

tú [distribuir]";"tú distribuyes"
"Indicativo
Presente

él [distribuir]";"él distribuye"
"Indicativo
Presente

ella [distribuir]";"ella distribuye"
"Indicativo
Presente

Usted [distribuir]";"Usted distribuye"
"Indicativo
Presente

nosotros [distribuir]";"nosotros distribuimos"
"Indicativo
Presente

nosotras [distribuir]";"nosotras distribuimos"
"Indicativo
Presente

vosotros [distribuir]";"vosotros distribuís"
"Indicativo
Presente

vosotras [distribuir]";"vosotras distribuís"
"Indicativo
Presente

ellos [distribuir]";"ellos distribuyen"
"Indicativo
Presente

ellas [distribuir]";"ellas distribuyen"
"Indicativo
Presente

Ustedes [distribuir]";"Ustedes distribuyen"
"Indicativo
Presente

yo [divertir]";"yo divierto"
"Indicativo
Presente

tú [divertir]";"tú diviertes"
"Indicativo
Presente

él [divertir]";"él divierte"
"Indicativo
Presente

ella [divertir]";"ella divierte"
"Indicativo
Presente

Usted [divertir]";"Usted divierte"
"Indicativo
Presente

nosotros [divertir]";"nosotros divertimos"
"Indicativo
Presente

nosotras [divertir]";"nosotras divertimos"
"Indicativo
Presente

vosotros [divertir]";"vosotros divertís"
"Indicativo
Presente

vosotras [divertir]";"vosotras divertís"
"Indicativo
Presente

ellos [divertir]";"ellos divierten"
"Indicativo
Presente

ellas [divertir]";"ellas divierten"
"Indicativo
Presente

Ustedes [divertir]";"Ustedes divierten"
"Indicativo
Presente

yo [doler]";"yo "
"Indicativo
Presente

tú [doler]";"tú "
"Indicativo
Presente

él [doler]";"él duele"
"Indicativo
Presente

ella [doler]";"ella duele"
"Indicativo
Presente

Usted [doler]";"Usted duele"
"Indicativo
Presente

nosotros [doler]";"nosotros "
"Indicativo
Presente

nosotras [doler]";"nosotras "
"Indicativo
Presente

vosotros [doler]";"vosotros "
"Indicativo
Presente

vosotras [doler]";"vosotras "
"Indicativo
Presente

ellos [doler]";"ellos duelen"
"Indicativo
Presente

ellas [doler]";"ellas duelen"
"Indicativo
Presente

Ustedes [doler]";"Ustedes duelen"
"Indicativo
Presente

yo [dormir]";"yo duermo"
"Indicativo
Presente

tú [dormir]";"tú duermes"
"Indicativo
Presente

él [dormir]";"él duerme"
"Indicativo
Presente

ella [dormir]";"ella duerme"
"Indicativo
Presente

Usted [dormir]";"Usted duerme"
"Indicativo
Presente

nosotros [dormir]";"nosotros dormimos"
"Indicativo
Presente

nosotras [dormir]";"nosotras dormimos"
"Indicativo
Presente

vosotros [dormir]";"vosotros dormís"
"Indicativo
Presente

vosotras [dormir]";"vosotras dormís"
"Indicativo
Presente

ellos [dormir]";"ellos duermen"
"Indicativo
Presente

ellas [dormir]";"ellas duermen"
"Indicativo
Presente

Ustedes [dormir]";"Ustedes duermen"
"Indicativo
Presente

yo [ejercer]";"yo ejerzo"
"Indicativo
Presente

tú [ejercer]";"tú ejerces"
"Indicativo
Presente

él [ejercer]";"él ejerce"
"Indicativo
Presente

ella [ejercer]";"ella ejerce"
"Indicativo
Presente

Usted [ejercer]";"Usted ejerce"
"Indicativo
Presente

nosotros [ejercer]";"nosotros ejercemos"
"Indicativo
Presente

nosotras [ejercer]";"nosotras ejercemos"
"Indicativo
Presente

vosotros [ejercer]";"vosotros ejercéis"
"Indicativo
Presente

vosotras [ejercer]";"vosotras ejercéis"
"Indicativo
Presente

ellos [ejercer]";"ellos ejercen"
"Indicativo
Presente

ellas [ejercer]";"ellas ejercen"
"Indicativo
Presente

Ustedes [ejercer]";"Ustedes ejercen"
"Indicativo
Presente

yo [elegir]";"yo elijo"
"Indicativo
Presente

tú [elegir]";"tú eliges"
"Indicativo
Presente

él [elegir]";"él elige"
"Indicativo
Presente

ella [elegir]";"ella elige"
"Indicativo
Presente

Usted [elegir]";"Usted elige"
"Indicativo
Presente

nosotros [elegir]";"nosotros elegimos"
"Indicativo
Presente

nosotras [elegir]";"nosotras elegimos"
"Indicativo
Presente

vosotros [elegir]";"vosotros elegís"
"Indicativo
Presente

vosotras [elegir]";"vosotras elegís"
"Indicativo
Presente

ellos [elegir]";"ellos eligen"
"Indicativo
Presente

ellas [elegir]";"ellas eligen"
"Indicativo
Presente

Ustedes [elegir]";"Ustedes eligen"
"Indicativo
Presente

yo [encender]";"yo enciendo"
"Indicativo
Presente

tú [encender]";"tú enciendes"
"Indicativo
Presente

él [encender]";"él enciende"
"Indicativo
Presente

ella [encender]";"ella enciende"
"Indicativo
Presente

Usted [encender]";"Usted enciende"
"Indicativo
Presente

nosotros [encender]";"nosotros encendemos"
"Indicativo
Presente

nosotras [encender]";"nosotras encendemos"
"Indicativo
Presente

vosotros [encender]";"vosotros encendéis"
"Indicativo
Presente

vosotras [encender]";"vosotras encendéis"
"Indicativo
Presente

ellos [encender]";"ellos encienden"
"Indicativo
Presente

ellas [encender]";"ellas encienden"
"Indicativo
Presente

Ustedes [encender]";"Ustedes encienden"
"Indicativo
Presente

yo [enflaquecer]";"yo enflaquezco"
"Indicativo
Presente

tú [enflaquecer]";"tú enflaqueces"
"Indicativo
Presente

él [enflaquecer]";"él enflaquece"
"Indicativo
Presente

ella [enflaquecer]";"ella enflaquece"
"Indicativo
Presente

Usted [enflaquecer]";"Usted enflaquece"
"Indicativo
Presente

nosotros [enflaquecer]";"nosotros enflaquecemos"
"Indicativo
Presente

nosotras [enflaquecer]";"nosotras enflaquecemos"
"Indicativo
Presente

vosotros [enflaquecer]";"vosotros enflaquecéis"
"Indicativo
Presente

vosotras [enflaquecer]";"vosotras enflaquecéis"
"Indicativo
Presente

ellos [enflaquecer]";"ellos enflaquecen"
"Indicativo
Presente

ellas [enflaquecer]";"ellas enflaquecen"
"Indicativo
Presente

Ustedes [enflaquecer]";"Ustedes enflaquecen"
"Indicativo
Presente

yo [enriquecer]";"yo enriquezco"
"Indicativo
Presente

tú [enriquecer]";"tú enriqueces"
"Indicativo
Presente

él [enriquecer]";"él enriquece"
"Indicativo
Presente

ella [enriquecer]";"ella enriquece"
"Indicativo
Presente

Usted [enriquecer]";"Usted enriquece"
"Indicativo
Presente

nosotros [enriquecer]";"nosotros enriquecemos"
"Indicativo
Presente

nosotras [enriquecer]";"nosotras enriquecemos"
"Indicativo
Presente

vosotros [enriquecer]";"vosotros enriquecéis"
"Indicativo
Presente

vosotras [enriquecer]";"vosotras enriquecéis"
"Indicativo
Presente

ellos [enriquecer]";"ellos enriquecen"
"Indicativo
Presente

ellas [enriquecer]";"ellas enriquecen"
"Indicativo
Presente

Ustedes [enriquecer]";"Ustedes enriquecen"
"Indicativo
Presente

yo [entender]";"yo entiendo"
"Indicativo
Presente

tú [entender]";"tú entiendes"
"Indicativo
Presente

él [entender]";"él entiende"
"Indicativo
Presente

ella [entender]";"ella entiende"
"Indicativo
Presente

Usted [entender]";"Usted entiende"
"Indicativo
Presente

nosotros [entender]";"nosotros entendemos"
"Indicativo
Presente

nosotras [entender]";"nosotras entendemos"
"Indicativo
Presente

vosotros [entender]";"vosotros entendéis"
"Indicativo
Presente

vosotras [entender]";"vosotras entendéis"
"Indicativo
Presente

ellos [entender]";"ellos entienden"
"Indicativo
Presente

ellas [entender]";"ellas entienden"
"Indicativo
Presente

Ustedes [entender]";"Ustedes entienden"
"Indicativo
Presente

yo [entretener]";"yo entretengo"
"Indicativo
Presente

tú [entretener]";"tú entretienes"
"Indicativo
Presente

él [entretener]";"él entretiene"
"Indicativo
Presente

ella [entretener]";"ella entretiene"
"Indicativo
Presente

Usted [entretener]";"Usted entretiene"
"Indicativo
Presente

nosotros [entretener]";"nosotros entretenemos"
