#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

tú [contener]";"tú contuviste"
"Indicativo
Pretérito

él [contener]";"él contuvo"
"Indicativo
Pretérito

ella [contener]";"ella contuvo"
"Indicativo
Pretérito

Usted [contener]";"Usted contuvo"
"Indicativo
Pretérito

nosotros [contener]";"nosotros contuvimos"
"Indicativo
Pretérito

nosotras [contener]";"nosotras contuvimos"
"Indicativo
Pretérito

vosotros [contener]";"vosotros contuvisteis"
"Indicativo
Pretérito

vosotras [contener]";"vosotras contuvisteis"
"Indicativo
Pretérito

ellos [contener]";"ellos contuvieron"
"Indicativo
Pretérito

ellas [contener]";"ellas contuvieron"
"Indicativo
Pretérito

Ustedes [contener]";"Ustedes contuvieron"
"Indicativo
Pretérito

yo [contribuir]";"yo contribuí"
"Indicativo
Pretérito

tú [contribuir]";"tú contribuiste"
"Indicativo
Pretérito

él [contribuir]";"él contribuyó"
"Indicativo
Pretérito

ella [contribuir]";"ella contribuyó"
"Indicativo
Pretérito

Usted [contribuir]";"Usted contribuyó"
"Indicativo
Pretérito

nosotros [contribuir]";"nosotros contribuimos"
"Indicativo
Pretérito

nosotras [contribuir]";"nosotras contribuimos"
"Indicativo
Pretérito

vosotros [contribuir]";"vosotros contribuisteis"
"Indicativo
Pretérito

vosotras [contribuir]";"vosotras contribuisteis"
"Indicativo
Pretérito

ellos [contribuir]";"ellos contribuyeron"
"Indicativo
Pretérito

ellas [contribuir]";"ellas contribuyeron"
"Indicativo
Pretérito

Ustedes [contribuir]";"Ustedes contribuyeron"
"Indicativo
Pretérito

yo [convencer]";"yo convencí"
"Indicativo
Pretérito

tú [convencer]";"tú convenciste"
"Indicativo
Pretérito

él [convencer]";"él convenció"
"Indicativo
Pretérito

ella [convencer]";"ella convenció"
"Indicativo
Pretérito

Usted [convencer]";"Usted convenció"
"Indicativo
Pretérito

nosotros [convencer]";"nosotros convencimos"
"Indicativo
Pretérito

nosotras [convencer]";"nosotras convencimos"
"Indicativo
Pretérito

vosotros [convencer]";"vosotros convencisteis"
"Indicativo
Pretérito

vosotras [convencer]";"vosotras convencisteis"
"Indicativo
Pretérito

ellos [convencer]";"ellos convencieron"
"Indicativo
Pretérito

ellas [convencer]";"ellas convencieron"
"Indicativo
Pretérito

Ustedes [convencer]";"Ustedes convencieron"
"Indicativo
Pretérito

yo [convenir]";"yo convine"
"Indicativo
Pretérito

tú [convenir]";"tú conviniste"
"Indicativo
Pretérito

él [convenir]";"él convino"
"Indicativo
Pretérito

ella [convenir]";"ella convino"
"Indicativo
Pretérito

Usted [convenir]";"Usted convino"
"Indicativo
Pretérito

nosotros [convenir]";"nosotros convinimos"
"Indicativo
Pretérito

nosotras [convenir]";"nosotras convinimos"
"Indicativo
Pretérito

vosotros [convenir]";"vosotros convinisteis"
"Indicativo
Pretérito

vosotras [convenir]";"vosotras convinisteis"
"Indicativo
Pretérito

ellos [convenir]";"ellos convinieron"
"Indicativo
Pretérito

ellas [convenir]";"ellas convinieron"
"Indicativo
Pretérito

Ustedes [convenir]";"Ustedes convinieron"
"Indicativo
Pretérito

yo [convertir]";"yo convertí"
"Indicativo
Pretérito

tú [convertir]";"tú convertiste"
"Indicativo
Pretérito

él [convertir]";"él convirtió"
"Indicativo
Pretérito

ella [convertir]";"ella convirtió"
"Indicativo
Pretérito

Usted [convertir]";"Usted convirtió"
"Indicativo
Pretérito

nosotros [convertir]";"nosotros convertimos"
"Indicativo
Pretérito

nosotras [convertir]";"nosotras convertimos"
"Indicativo
Pretérito

vosotros [convertir]";"vosotros convertisteis"
"Indicativo
Pretérito

vosotras [convertir]";"vosotras convertisteis"
"Indicativo
Pretérito

ellos [convertir]";"ellos convirtieron"
"Indicativo
Pretérito

ellas [convertir]";"ellas convirtieron"
"Indicativo
Pretérito

Ustedes [convertir]";"Ustedes convirtieron"
"Indicativo
Pretérito

yo [corregir]";"yo corregí"
"Indicativo
Pretérito

tú [corregir]";"tú corregiste"
"Indicativo
Pretérito

él [corregir]";"él corrigió"
"Indicativo
Pretérito

ella [corregir]";"ella corrigió"
"Indicativo
Pretérito

Usted [corregir]";"Usted corrigió"
"Indicativo
Pretérito

nosotros [corregir]";"nosotros corregimos"
"Indicativo
Pretérito

nosotras [corregir]";"nosotras corregimos"
"Indicativo
Pretérito

vosotros [corregir]";"vosotros corregisteis"
"Indicativo
Pretérito

vosotras [corregir]";"vosotras corregisteis"
"Indicativo
Pretérito

ellos [corregir]";"ellos corrigieron"
"Indicativo
Pretérito

ellas [corregir]";"ellas corrigieron"
"Indicativo
Pretérito

Ustedes [corregir]";"Ustedes corrigieron"
"Indicativo
Pretérito

yo [correr]";"yo corrí"
"Indicativo
Pretérito

tú [correr]";"tú corriste"
"Indicativo
Pretérito

él [correr]";"él corrió"
"Indicativo
Pretérito

ella [correr]";"ella corrió"
"Indicativo
Pretérito

Usted [correr]";"Usted corrió"
"Indicativo
Pretérito

nosotros [correr]";"nosotros corrimos"
"Indicativo
Pretérito

nosotras [correr]";"nosotras corrimos"
"Indicativo
Pretérito

vosotros [correr]";"vosotros corristeis"
"Indicativo
Pretérito

vosotras [correr]";"vosotras corristeis"
"Indicativo
Pretérito

ellos [correr]";"ellos corrieron"
"Indicativo
Pretérito

ellas [correr]";"ellas corrieron"
"Indicativo
Pretérito

Ustedes [correr]";"Ustedes corrieron"
"Indicativo
Pretérito

yo [coser]";"yo cosí"
"Indicativo
Pretérito

tú [coser]";"tú cosiste"
"Indicativo
Pretérito

él [coser]";"él cosió"
"Indicativo
Pretérito

ella [coser]";"ella cosió"
"Indicativo
Pretérito

Usted [coser]";"Usted cosió"
"Indicativo
Pretérito

nosotros [coser]";"nosotros cosimos"
"Indicativo
Pretérito

nosotras [coser]";"nosotras cosimos"
"Indicativo
Pretérito

vosotros [coser]";"vosotros cosisteis"
"Indicativo
Pretérito

vosotras [coser]";"vosotras cosisteis"
"Indicativo
Pretérito

ellos [coser]";"ellos cosieron"
"Indicativo
Pretérito

ellas [coser]";"ellas cosieron"
"Indicativo
Pretérito

Ustedes [coser]";"Ustedes cosieron"
"Indicativo
Pretérito

yo [crecer]";"yo crecí"
"Indicativo
Pretérito

tú [crecer]";"tú creciste"
"Indicativo
Pretérito

él [crecer]";"él creció"
"Indicativo
Pretérito

ella [crecer]";"ella creció"
"Indicativo
Pretérito

Usted [crecer]";"Usted creció"
"Indicativo
Pretérito

nosotros [crecer]";"nosotros crecimos"
"Indicativo
Pretérito

nosotras [crecer]";"nosotras crecimos"
"Indicativo
Pretérito

vosotros [crecer]";"vosotros crecisteis"
"Indicativo
Pretérito

vosotras [crecer]";"vosotras crecisteis"
"Indicativo
Pretérito

ellos [crecer]";"ellos crecieron"
"Indicativo
Pretérito

ellas [crecer]";"ellas crecieron"
"Indicativo
Pretérito

Ustedes [crecer]";"Ustedes crecieron"
"Indicativo
Pretérito

yo [creer]";"yo creí"
"Indicativo
Pretérito

tú [creer]";"tú creíste"
"Indicativo
Pretérito

él [creer]";"él creyó"
"Indicativo
Pretérito

ella [creer]";"ella creyó"
"Indicativo
Pretérito

Usted [creer]";"Usted creyó"
"Indicativo
Pretérito

nosotros [creer]";"nosotros creímos"
"Indicativo
Pretérito

nosotras [creer]";"nosotras creímos"
"Indicativo
Pretérito

vosotros [creer]";"vosotros creísteis"
"Indicativo
Pretérito

vosotras [creer]";"vosotras creísteis"
"Indicativo
Pretérito

ellos [creer]";"ellos creyeron"
"Indicativo
Pretérito

ellas [creer]";"ellas creyeron"
"Indicativo
Pretérito

Ustedes [creer]";"Ustedes creyeron"
"Indicativo
Pretérito

yo [cubrir]";"yo cubrí"
"Indicativo
Pretérito

tú [cubrir]";"tú cubriste"
"Indicativo
Pretérito

él [cubrir]";"él cubrió"
"Indicativo
Pretérito

ella [cubrir]";"ella cubrió"
"Indicativo
Pretérito

Usted [cubrir]";"Usted cubrió"
"Indicativo
Pretérito

nosotros [cubrir]";"nosotros cubrimos"
"Indicativo
Pretérito

nosotras [cubrir]";"nosotras cubrimos"
"Indicativo
Pretérito

vosotros [cubrir]";"vosotros cubristeis"
"Indicativo
Pretérito

vosotras [cubrir]";"vosotras cubristeis"
"Indicativo
Pretérito

ellos [cubrir]";"ellos cubrieron"
"Indicativo
Pretérito

ellas [cubrir]";"ellas cubrieron"
"Indicativo
Pretérito

Ustedes [cubrir]";"Ustedes cubrieron"
"Indicativo
Pretérito

yo [cumplir]";"yo cumplí"
"Indicativo
Pretérito

tú [cumplir]";"tú cumpliste"
"Indicativo
Pretérito

él [cumplir]";"él cumplió"
"Indicativo
Pretérito

ella [cumplir]";"ella cumplió"
"Indicativo
Pretérito

Usted [cumplir]";"Usted cumplió"
"Indicativo
Pretérito

nosotros [cumplir]";"nosotros cumplimos"
"Indicativo
Pretérito

nosotras [cumplir]";"nosotras cumplimos"
"Indicativo
Pretérito

vosotros [cumplir]";"vosotros cumplisteis"
"Indicativo
Pretérito

vosotras [cumplir]";"vosotras cumplisteis"
"Indicativo
Pretérito

ellos [cumplir]";"ellos cumplieron"
"Indicativo
Pretérito

ellas [cumplir]";"ellas cumplieron"
"Indicativo
Pretérito

Ustedes [cumplir]";"Ustedes cumplieron"
"Indicativo
Pretérito

yo [deber]";"yo debí"
"Indicativo
Pretérito

tú [deber]";"tú debiste"
"Indicativo
Pretérito

él [deber]";"él debió"
"Indicativo
Pretérito

ella [deber]";"ella debió"
"Indicativo
Pretérito

Usted [deber]";"Usted debió"
"Indicativo
Pretérito

nosotros [deber]";"nosotros debimos"
"Indicativo
Pretérito

nosotras [deber]";"nosotras debimos"
"Indicativo
Pretérito

vosotros [deber]";"vosotros debisteis"
"Indicativo
Pretérito

vosotras [deber]";"vosotras debisteis"
"Indicativo
Pretérito

ellos [deber]";"ellos debieron"
"Indicativo
Pretérito

ellas [deber]";"ellas debieron"
"Indicativo
Pretérito

Ustedes [deber]";"Ustedes debieron"
"Indicativo
Pretérito

yo [decidir]";"yo decidí"
"Indicativo
Pretérito

tú [decidir]";"tú decidiste"
"Indicativo
Pretérito

él [decidir]";"él decidió"
"Indicativo
Pretérito

ella [decidir]";"ella decidió"
"Indicativo
Pretérito

Usted [decidir]";"Usted decidió"
"Indicativo
Pretérito

nosotros [decidir]";"nosotros decidimos"
"Indicativo
Pretérito

nosotras [decidir]";"nosotras decidimos"
"Indicativo
Pretérito

vosotros [decidir]";"vosotros decidisteis"
"Indicativo
Pretérito

vosotras [decidir]";"vosotras decidisteis"
"Indicativo
Pretérito

ellos [decidir]";"ellos decidieron"
"Indicativo
Pretérito

ellas [decidir]";"ellas decidieron"
"Indicativo
Pretérito

Ustedes [decidir]";"Ustedes decidieron"
"Indicativo
Pretérito

yo [decir]";"yo dije"
"Indicativo
Pretérito

tú [decir]";"tú dijiste"
"Indicativo
Pretérito

él [decir]";"él dijo"
"Indicativo
Pretérito

ella [decir]";"ella dijo"
"Indicativo
Pretérito

Usted [decir]";"Usted dijo"
"Indicativo
Pretérito

nosotros [decir]";"nosotros dijimos"
"Indicativo
Pretérito

nosotras [decir]";"nosotras dijimos"
"Indicativo
Pretérito

vosotros [decir]";"vosotros dijisteis"
"Indicativo
Pretérito

vosotras [decir]";"vosotras dijisteis"
"Indicativo
Pretérito

ellos [decir]";"ellos dijeron"
"Indicativo
Pretérito

ellas [decir]";"ellas dijeron"
"Indicativo
Pretérito

Ustedes [decir]";"Ustedes dijeron"
"Indicativo
Pretérito

yo [defender]";"yo defendí"
"Indicativo
Pretérito

tú [defender]";"tú defendiste"
"Indicativo
Pretérito

él [defender]";"él defendió"
"Indicativo
Pretérito

ella [defender]";"ella defendió"
"Indicativo
Pretérito

Usted [defender]";"Usted defendió"
"Indicativo
Pretérito

nosotros [defender]";"nosotros defendimos"
"Indicativo
Pretérito

nosotras [defender]";"nosotras defendimos"
"Indicativo
Pretérito

vosotros [defender]";"vosotros defendisteis"
"Indicativo
Pretérito

vosotras [defender]";"vosotras defendisteis"
"Indicativo
Pretérito

ellos [defender]";"ellos defendieron"
"Indicativo
Pretérito

ellas [defender]";"ellas defendieron"
"Indicativo
Pretérito

Ustedes [defender]";"Ustedes defendieron"
"Indicativo
Pretérito

yo [depender]";"yo dependí"
"Indicativo
Pretérito

tú [depender]";"tú dependiste"
"Indicativo
Pretérito

él [depender]";"él dependió"
"Indicativo
Pretérito

ella [depender]";"ella dependió"
"Indicativo
Pretérito

Usted [depender]";"Usted dependió"
"Indicativo
Pretérito

nosotros [depender]";"nosotros dependimos"
"Indicativo
Pretérito

nosotras [depender]";"nosotras dependimos"
"Indicativo
Pretérito

vosotros [depender]";"vosotros dependisteis"
"Indicativo
Pretérito

vosotras [depender]";"vosotras dependisteis"
"Indicativo
Pretérito

ellos [depender]";"ellos dependieron"
"Indicativo
Pretérito

ellas [depender]";"ellas dependieron"
"Indicativo
Pretérito

Ustedes [depender]";"Ustedes dependieron"
"Indicativo
Pretérito

yo [deprimir]";"yo deprimí"
"Indicativo
Pretérito

tú [deprimir]";"tú deprimiste"
"Indicativo
Pretérito

él [deprimir]";"él deprimió"
"Indicativo
Pretérito

ella [deprimir]";"ella deprimió"
"Indicativo
Pretérito

Usted [deprimir]";"Usted deprimió"
"Indicativo
Pretérito

nosotros [deprimir]";"nosotros deprimimos"
"Indicativo
Pretérito

nosotras [deprimir]";"nosotras deprimimos"
"Indicativo
Pretérito

vosotros [deprimir]";"vosotros deprimisteis"
"Indicativo
Pretérito

vosotras [deprimir]";"vosotras deprimisteis"
"Indicativo
Pretérito

ellos [deprimir]";"ellos deprimieron"
"Indicativo
Pretérito

ellas [deprimir]";"ellas deprimieron"
"Indicativo
Pretérito

Ustedes [deprimir]";"Ustedes deprimieron"
"Indicativo
Pretérito

yo [derretir]";"yo derretí"
"Indicativo
Pretérito

tú [derretir]";"tú derretiste"
"Indicativo
Pretérito

él [derretir]";"él derritió"
"Indicativo
Pretérito

ella [derretir]";"ella derritió"
"Indicativo
Pretérito

Usted [derretir]";"Usted derritió"
"Indicativo
Pretérito

nosotros [derretir]";"nosotros derretimos"
"Indicativo
Pretérito

nosotras [derretir]";"nosotras derretimos"
"Indicativo
Pretérito

vosotros [derretir]";"vosotros derretisteis"
"Indicativo
Pretérito

vosotras [derretir]";"vosotras derretisteis"
"Indicativo
Pretérito

ellos [derretir]";"ellos derritieron"
"Indicativo
Pretérito

ellas [derretir]";"ellas derritieron"
"Indicativo
Pretérito

Ustedes [derretir]";"Ustedes derritieron"
"Indicativo
Pretérito

yo [desagradecer]";"yo desagradecí"
"Indicativo
Pretérito

tú [desagradecer]";"tú desagradeciste"
"Indicativo
Pretérito

él [desagradecer]";"él desagradeció"
"Indicativo
Pretérito

ella [desagradecer]";"ella desagradeció"
"Indicativo
Pretérito

Usted [desagradecer]";"Usted desagradeció"
"Indicativo
Pretérito

nosotros [desagradecer]";"nosotros desagradecimos"
"Indicativo
Pretérito

nosotras [desagradecer]";"nosotras desagradecimos"
"Indicativo
Pretérito

vosotros [desagradecer]";"vosotros desagradecisteis"
"Indicativo
Pretérito

vosotras [desagradecer]";"vosotras desagradecisteis"
"Indicativo
Pretérito

ellos [desagradecer]";"ellos desagradecieron"
"Indicativo
Pretérito

ellas [desagradecer]";"ellas desagradecieron"
"Indicativo
Pretérito

Ustedes [desagradecer]";"Ustedes desagradecieron"
"Indicativo
Pretérito

yo [desaparecer]";"yo desaparecí"
"Indicativo
Pretérito

tú [desaparecer]";"tú desapareciste"
"Indicativo
Pretérito

él [desaparecer]";"él desapareció"
"Indicativo
Pretérito

ella [desaparecer]";"ella desapareció"
"Indicativo
Pretérito

Usted [desaparecer]";"Usted desapareció"
"Indicativo
Pretérito

nosotros [desaparecer]";"nosotros desaparecimos"
"Indicativo
Pretérito

nosotras [desaparecer]";"nosotras desaparecimos"
"Indicativo
Pretérito

vosotros [desaparecer]";"vosotros desaparecisteis"
"Indicativo
Pretérito

vosotras [desaparecer]";"vosotras desaparecisteis"
"Indicativo
Pretérito

ellos [desaparecer]";"ellos desaparecieron"
"Indicativo
Pretérito

ellas [desaparecer]";"ellas desaparecieron"
"Indicativo
Pretérito

Ustedes [desaparecer]";"Ustedes desaparecieron"
"Indicativo
Pretérito

yo [descender]";"yo descendí"
"Indicativo
Pretérito

tú [descender]";"tú descendiste"
"Indicativo
Pretérito

él [descender]";"él descendió"
"Indicativo
Pretérito

ella [descender]";"ella descendió"
"Indicativo
Pretérito

Usted [descender]";"Usted descendió"
"Indicativo
Pretérito

nosotros [descender]";"nosotros descendimos"
"Indicativo
Pretérito

nosotras [descender]";"nosotras descendimos"
"Indicativo
Pretérito

vosotros [descender]";"vosotros descendisteis"
"Indicativo
Pretérito

vosotras [descender]";"vosotras descendisteis"
"Indicativo
Pretérito

ellos [descender]";"ellos descendieron"
"Indicativo
Pretérito

ellas [descender]";"ellas descendieron"
"Indicativo
Pretérito

Ustedes [descender]";"Ustedes descendieron"
"Indicativo
Pretérito

yo [describir]";"yo describí"
"Indicativo
Pretérito

tú [describir]";"tú describiste"
"Indicativo
Pretérito

él [describir]";"él describió"
"Indicativo
Pretérito

ella [describir]";"ella describió"
"Indicativo
Pretérito

Usted [describir]";"Usted describió"
"Indicativo
Pretérito

nosotros [describir]";"nosotros describimos"
"Indicativo
Pretérito

nosotras [describir]";"nosotras describimos"
"Indicativo
Pretérito

vosotros [describir]";"vosotros describisteis"
"Indicativo
Pretérito

vosotras [describir]";"vosotras describisteis"
"Indicativo
Pretérito

ellos [describir]";"ellos describieron"
"Indicativo
Pretérito

ellas [describir]";"ellas describieron"
"Indicativo
Pretérito

Ustedes [describir]";"Ustedes describieron"
"Indicativo
Pretérito

yo [descubrir]";"yo descubrí"
"Indicativo
Pretérito

tú [descubrir]";"tú descubriste"
"Indicativo
Pretérito

él [descubrir]";"él descubrió"
"Indicativo
Pretérito

ella [descubrir]";"ella descubrió"
"Indicativo
Pretérito

Usted [descubrir]";"Usted descubrió"
"Indicativo
Pretérito

nosotros [descubrir]";"nosotros descubrimos"
"Indicativo
Pretérito

nosotras [descubrir]";"nosotras descubrimos"
"Indicativo
Pretérito

vosotros [descubrir]";"vosotros descubristeis"
"Indicativo
Pretérito

vosotras [descubrir]";"vosotras descubristeis"
"Indicativo
Pretérito

ellos [descubrir]";"ellos descubrieron"
"Indicativo
Pretérito

ellas [descubrir]";"ellas descubrieron"
"Indicativo
Pretérito

Ustedes [descubrir]";"Ustedes descubrieron"
"Indicativo
Pretérito

yo [deshacer]";"yo deshice"
"Indicativo
Pretérito

tú [deshacer]";"tú deshiciste"
"Indicativo
Pretérito

él [deshacer]";"él deshizo"
"Indicativo
Pretérito

ella [deshacer]";"ella deshizo"
"Indicativo
Pretérito

Usted [deshacer]";"Usted deshizo"
"Indicativo
Pretérito

nosotros [deshacer]";"nosotros deshicimos"
"Indicativo
Pretérito

nosotras [deshacer]";"nosotras deshicimos"
"Indicativo
Pretérito

vosotros [deshacer]";"vosotros deshicisteis"
"Indicativo
Pretérito

vosotras [deshacer]";"vosotras deshicisteis"
"Indicativo
Pretérito

ellos [deshacer]";"ellos deshicieron"
"Indicativo
Pretérito

ellas [deshacer]";"ellas deshicieron"
"Indicativo
Pretérito

Ustedes [deshacer]";"Ustedes deshicieron"
"Indicativo
Pretérito

yo [despedir]";"yo despedí"
"Indicativo
Pretérito

tú [despedir]";"tú despediste"
"Indicativo
Pretérito

él [despedir]";"él despidió"
"Indicativo
Pretérito

ella [despedir]";"ella despidió"
"Indicativo
Pretérito

Usted [despedir]";"Usted despidió"
"Indicativo
Pretérito

nosotros [despedir]";"nosotros despedimos"
"Indicativo
Pretérito

nosotras [despedir]";"nosotras despedimos"
"Indicativo
Pretérito

vosotros [despedir]";"vosotros despedisteis"
"Indicativo
Pretérito

vosotras [despedir]";"vosotras despedisteis"
"Indicativo
Pretérito

ellos [despedir]";"ellos despidieron"
"Indicativo
Pretérito

ellas [despedir]";"ellas despidieron"
"Indicativo
Pretérito

Ustedes [despedir]";"Ustedes despidieron"
"Indicativo
Pretérito

yo [destruir]";"yo destruí"
"Indicativo
Pretérito

tú [destruir]";"tú destruiste"
"Indicativo
Pretérito

él [destruir]";"él destruyó"
"Indicativo
Pretérito

ella [destruir]";"ella destruyó"
"Indicativo
Pretérito

Usted [destruir]";"Usted destruyó"
"Indicativo
Pretérito

nosotros [destruir]";"nosotros destruimos"
"Indicativo
Pretérito

nosotras [destruir]";"nosotras destruimos"
"Indicativo
Pretérito

vosotros [destruir]";"vosotros destruisteis"
"Indicativo
Pretérito

vosotras [destruir]";"vosotras destruisteis"
"Indicativo
Pretérito

ellos [destruir]";"ellos destruyeron"
"Indicativo
Pretérito

ellas [destruir]";"ellas destruyeron"
"Indicativo
Pretérito

Ustedes [destruir]";"Ustedes destruyeron"
"Indicativo
Pretérito

yo [detener]";"yo detuve"
"Indicativo
Pretérito

tú [detener]";"tú detuviste"
"Indicativo
Pretérito

él [detener]";"él detuvo"
"Indicativo
Pretérito

ella [detener]";"ella detuvo"
"Indicativo
Pretérito

Usted [detener]";"Usted detuvo"
"Indicativo
Pretérito

nosotros [detener]";"nosotros detuvimos"
"Indicativo
Pretérito

nosotras [detener]";"nosotras detuvimos"
"Indicativo
Pretérito

vosotros [detener]";"vosotros detuvisteis"
"Indicativo
Pretérito

vosotras [detener]";"vosotras detuvisteis"
"Indicativo
Pretérito

ellos [detener]";"ellos detuvieron"
"Indicativo
Pretérito

ellas [detener]";"ellas detuvieron"
"Indicativo
Pretérito

Ustedes [detener]";"Ustedes detuvieron"
"Indicativo
Pretérito

yo [devolver]";"yo devolví"
"Indicativo
Pretérito

tú [devolver]";"tú devolviste"
"Indicativo
Pretérito

él [devolver]";"él devolvió"
"Indicativo
Pretérito

ella [devolver]";"ella devolvió"
"Indicativo
Pretérito

Usted [devolver]";"Usted devolvió"
"Indicativo
Pretérito

nosotros [devolver]";"nosotros devolvimos"
"Indicativo
Pretérito

nosotras [devolver]";"nosotras devolvimos"
"Indicativo
Pretérito

vosotros [devolver]";"vosotros devolvisteis"
"Indicativo
Pretérito

vosotras [devolver]";"vosotras devolvisteis"
"Indicativo
Pretérito

ellos [devolver]";"ellos devolvieron"
"Indicativo
Pretérito

ellas [devolver]";"ellas devolvieron"
"Indicativo
Pretérito

Ustedes [devolver]";"Ustedes devolvieron"
"Indicativo
Pretérito

yo [dirigir]";"yo dirigí"
"Indicativo
Pretérito

tú [dirigir]";"tú dirigiste"
"Indicativo
Pretérito

él [dirigir]";"él dirigió"
"Indicativo
Pretérito

ella [dirigir]";"ella dirigió"
"Indicativo
Pretérito

Usted [dirigir]";"Usted dirigió"
"Indicativo
Pretérito

nosotros [dirigir]";"nosotros dirigimos"
"Indicativo
Pretérito

nosotras [dirigir]";"nosotras dirigimos"
"Indicativo
Pretérito

vosotros [dirigir]";"vosotros dirigisteis"
"Indicativo
Pretérito

vosotras [dirigir]";"vosotras dirigisteis"
"Indicativo
Pretérito

ellos [dirigir]";"ellos dirigieron"
"Indicativo
Pretérito

ellas [dirigir]";"ellas dirigieron"
"Indicativo
Pretérito

Ustedes [dirigir]";"Ustedes dirigieron"
"Indicativo
Pretérito

yo [disminuir]";"yo disminuí"
"Indicativo
Pretérito

tú [disminuir]";"tú disminuiste"
"Indicativo
Pretérito

él [disminuir]";"él disminuyó"
"Indicativo
Pretérito

ella [disminuir]";"ella disminuyó"
"Indicativo
Pretérito

Usted [disminuir]";"Usted disminuyó"
"Indicativo
Pretérito

nosotros [disminuir]";"nosotros disminuimos"
"Indicativo
Pretérito

nosotras [disminuir]";"nosotras disminuimos"
"Indicativo
Pretérito

vosotros [disminuir]";"vosotros disminuisteis"
"Indicativo
Pretérito

vosotras [disminuir]";"vosotras disminuisteis"
"Indicativo
Pretérito

ellos [disminuir]";"ellos disminuyeron"
"Indicativo
Pretérito

ellas [disminuir]";"ellas disminuyeron"
"Indicativo
Pretérito

Ustedes [disminuir]";"Ustedes disminuyeron"
"Indicativo
Pretérito

yo [distinguir]";"yo distinguí"
"Indicativo
Pretérito

tú [distinguir]";"tú distinguiste"
"Indicativo
Pretérito

él [distinguir]";"él distinguió"
"Indicativo
Pretérito

ella [distinguir]";"ella distinguió"
"Indicativo
Pretérito

Usted [distinguir]";"Usted distinguió"
"Indicativo
Pretérito

nosotros [distinguir]";"nosotros distinguimos"
"Indicativo
Pretérito

nosotras [distinguir]";"nosotras distinguimos"
"Indicativo
Pretérito

vosotros [distinguir]";"vosotros distinguisteis"
"Indicativo
Pretérito

vosotras [distinguir]";"vosotras distinguisteis"
"Indicativo
Pretérito

ellos [distinguir]";"ellos distinguieron"
"Indicativo
Pretérito

ellas [distinguir]";"ellas distinguieron"
"Indicativo
Pretérito

Ustedes [distinguir]";"Ustedes distinguieron"
"Indicativo
Pretérito

yo [distribuir]";"yo distribuí"
"Indicativo
Pretérito

tú [distribuir]";"tú distribuiste"
"Indicativo
Pretérito

él [distribuir]";"él distribuyó"
"Indicativo
Pretérito

ella [distribuir]";"ella distribuyó"
"Indicativo
Pretérito

Usted [distribuir]";"Usted distribuyó"
"Indicativo
Pretérito

nosotros [distribuir]";"nosotros distribuimos"
"Indicativo
Pretérito

nosotras [distribuir]";"nosotras distribuimos"
"Indicativo
Pretérito

vosotros [distribuir]";"vosotros distribuisteis"
"Indicativo
Pretérito

vosotras [distribuir]";"vosotras distribuisteis"
"Indicativo
Pretérito

ellos [distribuir]";"ellos distribuyeron"
"Indicativo
Pretérito

ellas [distribuir]";"ellas distribuyeron"
"Indicativo
Pretérito

Ustedes [distribuir]";"Ustedes distribuyeron"
"Indicativo
Pretérito

yo [divertir]";"yo divertí"
"Indicativo
Pretérito

tú [divertir]";"tú divertiste"
"Indicativo
Pretérito

él [divertir]";"él divirtió"
"Indicativo
Pretérito

ella [divertir]";"ella divirtió"
"Indicativo
Pretérito

Usted [divertir]";"Usted divirtió"
"Indicativo
Pretérito

nosotros [divertir]";"nosotros divertimos"
"Indicativo
Pretérito

nosotras [divertir]";"nosotras divertimos"
"Indicativo
Pretérito

vosotros [divertir]";"vosotros divertisteis"
"Indicativo
Pretérito

vosotras [divertir]";"vosotras divertisteis"
"Indicativo
Pretérito

ellos [divertir]";"ellos divirtieron"
"Indicativo
Pretérito

ellas [divertir]";"ellas divirtieron"
"Indicativo
Pretérito

Ustedes [divertir]";"Ustedes divirtieron"
"Indicativo
Pretérito

yo [doler]";"yo "
"Indicativo
Pretérito

tú [doler]";"tú "
"Indicativo
Pretérito

él [doler]";"él dolió"
"Indicativo
Pretérito

ella [doler]";"ella dolió"
"Indicativo
Pretérito

Usted [doler]";"Usted dolió"
"Indicativo
Pretérito

nosotros [doler]";"nosotros "
"Indicativo
Pretérito

nosotras [doler]";"nosotras "
"Indicativo
Pretérito

vosotros [doler]";"vosotros "
"Indicativo
Pretérito

vosotras [doler]";"vosotras "
"Indicativo
Pretérito

ellos [doler]";"ellos dolieron"
"Indicativo
Pretérito

ellas [doler]";"ellas dolieron"
"Indicativo
Pretérito

Ustedes [doler]";"Ustedes dolieron"
"Indicativo
Pretérito

yo [dormir]";"yo dormí"
"Indicativo
Pretérito

tú [dormir]";"tú dormiste"
"Indicativo
Pretérito

él [dormir]";"él durmió"
"Indicativo
Pretérito

ella [dormir]";"ella durmió"
"Indicativo
Pretérito

Usted [dormir]";"Usted durmió"
"Indicativo
Pretérito

nosotros [dormir]";"nosotros dormimos"
"Indicativo
Pretérito

nosotras [dormir]";"nosotras dormimos"
"Indicativo
Pretérito

vosotros [dormir]";"vosotros dormisteis"
"Indicativo
Pretérito

vosotras [dormir]";"vosotras dormisteis"
"Indicativo
Pretérito

ellos [dormir]";"ellos durmieron"
"Indicativo
Pretérito

ellas [dormir]";"ellas durmieron"
